Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M Pop,Continent
Tajikistan,612,N/A,20,N/A,N/A,592,N/A,64,2,N/A,N/A,Asia
Channel Islands,545,N/A,41,N/A,447,57,N/A,3135,236,5342,30725,Europe
Jordan,522,N/A,9,N/A,387,126,5,51,0.9,111285,10907,Asia
Tanzania,509,N/A,21,N/A,183,305,7,9,0.4,N/A,N/A,Africa
Jamaica,490,N/A,9,N/A,62,419,N/A,165,3,6633,2240,North America
Malta,490,N/A,5,N/A,427,58,N/A,1110,11,40493,91708,Europe
Taiwan,440,N/A,6,,361,73,N/A,18,0.3,66861,2807,Asia
Equatorial Guinea,439,N/A,4,N/A,13,422,N/A,313,3,854,609,Africa
Réunion,431,N/A,,N/A,354,77,5,481,N/A,17200,19211,Africa
Venezuela,402,N/A,10,N/A,190,202,1,14,0.4,512181,18012,South America
Palestine,375,N/A,2,N/A,228,145,N/A,74,0.4,34511,6765,Asia
Mauritius,332,N/A,10,N/A,320,2,3,261,8,69773,54863,Africa
Isle of Man,329,N/A,23,N/A,271,35,19,3869,270,3625,42631,Europe
Montenegro,324,N/A,8,N/A,274,42,2,516,13,7816,12445,Europe
Chad,322,N/A,31,N/A,53,238,N/A,20,2,N/A,N/A,Africa
Sierra Leone,291,N/A,18,N/A,58,215,N/A,36,2,N/A,N/A,Africa
Vietnam,288,N/A,,N/A,241,47,8,3,N/A,261004,2681,Asia
Benin,284,N/A,2,N/A,62,220,N/A,23,0.2,19474,1606,Africa
Rwanda,280,N/A,,N/A,140,140,N/A,22,N/A,41385,3195,Africa
Congo,274,N/A,10,N/A,33,231,N/A,50,2,N/A,N/A,Africa
Zambia,252,N/A,7,N/A,112,133,1,14,0.4,10270,559,Africa
Cabo Verde,236,N/A,2,N/A,56,178,N/A,424,4,791,1423,Africa
Ethiopia,210,N/A,5,N/A,97,108,1,2,0.04,32689,284,Africa
Sao Tome and Principe,208,N/A,5,N/A,4,199,N/A,949,23,175,799,Africa
Liberia,199,N/A,20,N/A,79,100,N/A,39,4,N/A,N/A,Africa
Madagascar,193,N/A,,,101,92,1,7,N/A,3968,143,Africa
Faeroe Islands,187,N/A,,N/A,187,0,N/A,3827,N/A,8403,171971,Europe
Martinique,186,N/A,14,N/A,83,89,3,496,37,N/A,N/A,North America
Myanmar,178,N/A,6,N/A,68,104,N/A,3,0.1,10848,199,Asia
Eswatini,163,N/A,2,N/A,14,147,N/A,140,2,714,615,Africa
Guadeloupe,154,N/A,13,N/A,104,37,4,385,32,N/A,N/A,North America
Togo,153,N/A,10,N/A,87,56,N/A,18,1,10094,1219,Africa
Haiti,151,N/A,12,N/A,17,122,N/A,13,1,1160,102,North America
Gibraltar,146,N/A,,N/A,142,4,N/A,4334,N/A,3366,99908,Europe
CAR,143,N/A,,N/A,10,133,N/A,30,N/A,3498,724,Africa
Brunei,141,N/A,1,N/A,132,8,2,322,2,15482,35389,Asia
French Guiana,141,N/A,1,N/A,119,21,N/A,472,3,N/A,N/A,South America
Cambodia,122,N/A,,N/A,120,2,1,7,N/A,13173,788,Asia
South Sudan,120,N/A,,N/A,2,118,N/A,11,N/A,1247,111,Africa
Bermuda,118,N/A,7,N/A,64,47,4,1895,112,4020,64549,North America
Trinidad and Tobago,116,N/A,8,N/A,104,4,N/A,83,6,2301,1644,North America
Uganda,116,N/A,,N/A,55,61,N/A,3,N/A,56767,1241,Africa
Nepal,110,+1,,N/A,31,79,N/A,4,N/A,72239,2479,Asia
Aruba,101,N/A,3,N/A,89,9,4,946,28,1860,17421,North America
Monaco,96,N/A,4,N/A,82,10,1,2446,102,N/A,N/A,Europe
Guyana,94,N/A,10,N/A,35,49,3,120,13,785,998,South America
Bahamas,92,N/A,11,N/A,37,44,1,234,28,1500,3814,North America
Mozambique,87,N/A,,N/A,34,53,N/A,3,N/A,3356,107,Africa
Barbados,84,N/A,7,N/A,57,20,4,292,24,2926,10182,North America
Liechtenstein,82,N/A,1,N/A,55,26,N/A,2151,26,900,23605,Europe
Cayman Islands,81,N/A,1,N/A,41,39,3,1232,15,3423,52083,North America
Sint Maarten,76,N/A,15,N/A,46,15,7,1773,350,329,7673,North America
Libya,64,,3,N/A,24,37,N/A,9,0.4,3093,450,Africa
French Polynesia,60,N/A,,N/A,56,4,1,214,N/A,2950,10502,Australia/Oceania
Malawi,56,N/A,3,N/A,14,39,1,3,0.2,1188,62,Africa
Syria,47,N/A,3,N/A,29,15,N/A,3,0.2,N/A,N/A,Asia
Macao,45,N/A,,N/A,40,5,1,69,N/A,N/A,N/A,Asia
Angola,43,N/A,2,N/A,13,28,,1,0.06,3000,91,Africa
Mongolia,42,N/A,,N/A,14,28,N/A,13,N/A,9203,2807,Asia
Saint Martin,39,N/A,3,N/A,30,6,1,1009,78,N/A,N/A,North America
Eritrea,39,N/A,,N/A,37,2,N/A,11,N/A,N/A,N/A,Africa
Zimbabwe,35,N/A,4,N/A,9,22,N/A,2,0.3,16052,1080,Africa
Yemen,34,N/A,7,N/A,1,26,N/A,1,0.2,120,4,Asia
Antigua and Barbuda,25,N/A,3,N/A,19,3,1,255,31,183,1869,North America
Timor-Leste,24,N/A,,N/A,21,3,N/A,18,N/A,738,560,Asia
Botswana,23,N/A,1,N/A,12,10,N/A,10,0.4,9540,4057,Africa
Grenada,21,N/A,,N/A,13,8,4,187,N/A,1406,12495,North America
Gambia,20,N/A,1,N/A,9,10,N/A,8,0.4,849,351,Africa
Laos,19,N/A,,N/A,13,6,N/A,3,N/A,2908,400,Asia
Belize,18,N/A,2,N/A,16,0,N/A,45,5,1043,2623,North America
Fiji,18,N/A,,N/A,14,4,N/A,20,N/A,1300,1450,Australia/Oceania
New Caledonia,18,N/A,,N/A,18,0,N/A,63,N/A,5213,18259,Australia/Oceania
Saint Lucia,18,N/A,,N/A,17,1,N/A,98,N/A,620,3376,North America
St. Vincent Grenadines,17,N/A,,N/A,9,8,N/A,153,N/A,137,1235,North America
Nicaragua,16,N/A,5,N/A,7,4,N/A,2,0.8,N/A,N/A,North America
Curaçao,16,N/A,1,N/A,14,1,N/A,98,6,389,2371,North America
Dominica,16,N/A,,N/A,14,2,N/A,222,N/A,416,5779,North America
Namibia,16,N/A,,N/A,10,6,N/A,6,N/A,1511,595,Africa
Burundi,15,N/A,1,N/A,7,7,N/A,1,0.08,284,24,Africa
Saint Kitts and Nevis,15,N/A,,N/A,14,1,N/A,282,N/A,327,6147,North America
Falkland Islands,13,N/A,,N/A,13,0,N/A,3736,N/A,402,115517,South America
Turks and Caicos,12,N/A,1,N/A,8,3,N/A,310,26,109,2815,North America
Vatican City,12,N/A,,N/A,2,10,N/A,14981,N/A,N/A,N/A,Europe
Comoros,11,N/A,1,N/A,N/A,10,N/A,13,1,N/A,N/A,Africa
Montserrat,11,N/A,1,N/A,8,2,1,2204,200,36,7212,North America
Greenland,11,N/A,,N/A,11,0,N/A,194,N/A,1394,24555,North America
Seychelles,11,N/A,,N/A,8,3,N/A,112,N/A,N/A,N/A,Africa
Suriname,10,N/A,1,N/A,9,0,N/A,17,2,404,689,South America
MS Zaandam,9,N/A,2,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A
Mauritania,8,N/A,1,N/A,6,1,N/A,2,0.2,1842,396,Africa
Papua New Guinea,8,N/A,,N/A,8,0,N/A,0.9,N/A,2402,268,Australia/Oceania
British Virgin Islands,7,N/A,1,N/A,4,2,N/A,232,33,167,5524,North America
Bhutan,7,N/A,,N/A,5,2,N/A,9,N/A,11568,14992,Asia
Caribbean Netherlands,6,N/A,,N/A,N/A,6,N/A,229,N/A,110,4195,North America
St. Barth,6,N/A,,N/A,6,0,N/A,607,N/A,N/A,N/A,North America
Western Sahara,6,N/A,,N/A,5,1,N/A,10,N/A,N/A,N/A,Africa
Anguilla,3,N/A,,N/A,3,0,N/A,200,N/A,N/A,N/A,North America
Saint Pierre Miquelon,1,N/A,,N/A,N/A,1,N/A,173,N/A,N/A,N/A,North America
China,82901,+14,4633,N/A,78120,148,13,58,3,N/A,N/A,Asia
