#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3766003,+70978,141956,+838,1712620,+32987,1911427,16449,11374,429,46531580,140540
2,Brazil,2048697,+33959,77932,+1110,1366775,N/A,603990,8318,9635,367,4911063,23097
3,India,1040457,+34820,26285,+676,654078,+17476,360094,8944,754,19,13072718,9469
4,Russia,759203,+6406,12123,+186,539373,+7681,207707,2300,5202,83,24364568,166952
5,Peru,345537,+3951,12799,+184,233982,+2988,98756,1314,10474,388,2023996,61350
6,South Africa,337594,+13373,4804,+135,178183,+12592,154607,539,5689,81,2373053,39990
7,Chile,326539,+2841,8347,+98,296814,+1513,21378,1796,17075,436,1370603,71671
8,Mexico,324041,+6406,37574,+668,203464,+4335,83003,378,2512,291,782063,6063
9,Spain,307335,+1400,28420,+4,N/A,N/A,N/A,617,6573,608,6026446,128892
10,UK,293239,+687,45233,+114,N/A,N/A,N/A,142,4319,666,12892406,189866
11,Iran,269440,+2379,13791,+183,232873,+2265,22776,3509,3206,164,2073791,24677
12,Pakistan,259999,+2085,5475,+49,183737,+5000,70787,1895,1176,25,1676090,7582
13,Saudi Arabia,245851,+2613,2407,+37,191161,+3539,52283,2188,7057,69,2494873,71617
14,Italy,243967,+231,35028,+11,196483,+237,12456,50,4035,579,6154259,101795
15,Turkey,217799,+926,5458,+18,199834,+1014,12507,1226,2581,65,4191124,49670
16,Germany,202345,+509,9160,+3,186900,+500,6285,249,2415,109,6884614,82159
17,Bangladesh,199357,+3034,2547,+51,108725,+1762,88085,1,1210,15,1006751,6110
18,Colombia,182140,+8934,6288,+259,80637,+4473,95215,1027,3578,124,1159562,22778
19,France,174674,+836,30152,+14,79233,+197,65289,477,2676,462,2618722,40115
20,Argentina,119301,+4518,2178,+66,49780,+660,67343,752,2639,48,519281,11485
21,Canada,109669,+405,8839,+12,96689,+23853,4141,2177,2905,234,3438041,91057
22,Qatar,105898,+421,153,+1,102597,+429,3148,132,37716,54,435584,155133
23,Iraq,88171,+2023,3616,+94,56495,+2179,28060,382,2190,90,744847,18502
24,Egypt,86474,+703,4188,+68,27302,+611,54984,41,844,41,135000,1318
25,Indonesia,83130,+1462,3957,+84,41834,+1489,37339,N/A,304,14,1175462,4295
26,Sweden,77281,+152,5619,+10,N/A,N/A,N/A,62,7650,556,681820,67492
27,Ecuador,72444,+1079,5250,+43,31404,+144,35790,313,4104,297,199115,11279
28,Kazakhstan,66895,+1707,375,N/A,40256,+1190,26264,221,3561,20,1737546,92490
29,Belarus,65782,+159,491,+6,57370,+455,7921,89,6962,52,1162280,123003
30,Oman,64193,+1619,298,+8,41450,+1360,22445,157,12559,58,262869,51429
31,Belgium,63238,+199,9795,+3,17269,+16,36174,28,5455,845,1429053,123279
32,Philippines,63001,+1841,1660,+17,21748,+311,39593,647,575,15,1089603,9938
33,Kuwait,58221,+553,404,+2,48381,+836,9436,143,13625,95,452970,106002
34,Ukraine,57264,+809,1456,+11,29769,+838,26039,92,1310,33,854064,19535
35,UAE,56422,+293,337,+2,48448,+1036,7637,1,5702,34,4364763,441083
36,Bolivia,54156,+1938,1984,+42,16979,+622,35193,71,4637,170,117111,10027
37,Netherlands,51454,+103,6138,+1,N/A,N/A,N/A,15,3003,358,764079,44587
38,Panama,51408,+1035,1038,+38,26520,+678,23850,166,11907,240,180814,41879
39,Dominican Republic,50113,+1370,942,+1,24423,+787,24748,246,4618,87,201669,18582
40,Portugal,48077,+312,1682,+3,32790,+314,13605,67,4716,165,1413519,138645
41,Israel,47459,+1400,392,+8,20744,+374,26323,208,5160,43,1411893,153507
42,Singapore,47453,+327,27,N/A,43577,+321,3849,N/A,8108,5,1009532,172498
43,Poland,39407,+353,1612,+7,29505,+577,8290,71,1041,43,1886089,49838
44,Romania,35802,+799,1988,+17,22312,+123,11502,273,1862,103,925001,48099
45,Bahrain,35473,+389,124,+3,31188,+379,4161,47,20825,73,710686,417212
46,Nigeria,35454,+600,772,+3,14633,+341,20049,7,172,4,206422,1000
47,Afghanistan,35229,+159,1147,+34,23151,+327,10931,31,904,29,82924,2128
48,Armenia,34001,+442,620,+13,22492,+561,10889,10,11473,209,143114,48292
49,Guatemala,33809,+870,1443,+39,4989,+182,27377,5,1886,80,64590,3603
50,Switzerland,33382,+92,1969,N/A,29900,N/A,1513,20,3856,227,715487,82644
51,Honduras,30867,+831,835,+10,3420,+41,26612,58,3114,84,49308,4975
52,Azerbaijan,26636,+471,341,+7,17805,+549,8490,66,2626,34,601500,59300
53,Ghana,26572,+447,144,+5,22915,+645,3513,8,854,5,341919,10995
54,Ireland,25730,+32,1752,+3,23364,N/A,614,8,5208,355,541574,109626
55,Japan,23473,+583,985,N/A,19096,+282,3392,39,186,8,617049,4880
56,Algeria,21948,+593,1057,+5,15430,+323,5461,61,500,24,N/A,N/A
57,Moldova,20494,+230,675,+9,13913,+273,5906,358,5081,167,101180,25085
58,Serbia,20109,+392,452,+10,14047,N/A,5610,184,2302,52,534488,61185
59,Austria,19439,+169,711,N/A,17335,+91,1393,11,2158,79,734413,81522
60,Nepal,17445,+101,40,+1,11534,+285,5871,N/A,598,1,620900,21294
61,Morocco,16726,+181,264,+1,14360,+395,2102,31,453,7,973404,26358
62,Cameroon,16157,N/A,373,N/A,13728,N/A,2056,52,608,14,135000,5081
63,Uzbekistan,15607,+541,79,+4,9003,+220,6525,43,466,2,1377915,41145
64,Czechia,13742,+130,358,+3,8725,+85,4659,18,1283,33,614297,57358
65,Ivory Coast,13696,+142,87,N/A,7607,+244,6002,N/A,519,3,81379,3082
66,S. Korea,13672,+60,293,+2,12460,+64,919,15,267,6,1451017,28301
67,Denmark,13173,+49,611,+1,12209,+14,353,5,2274,105,1306743,225566
68,Kyrgyzstan,13101,+603,173,+6,3821,+86,9107,24,2007,26,262894,40268
69,Kenya,12062,+389,222,+5,3983,+345,7857,44,224,4,229390,4262
70,Australia,11235,+425,116,+3,8117,+82,3002,32,440,5,3350444,131325
71,El Salvador,11207,+250,309,+11,6422,+165,4476,412,1727,48,204609,31538
72,Venezuela,10854,N/A,104,N/A,3255,N/A,7495,23,382,4,1414066,49735
73,Sudan,10527,N/A,668,N/A,5601,N/A,4258,N/A,240,15,401,9
74,Costa Rica,9969,+423,47,+5,2818,+145,7104,38,1956,9,65819,12915
75,Norway,9025,+10,255,+1,8138,N/A,632,1,1664,47,397106,73224
76,Ethiopia,8803,+328,150,+2,2430,N/A,6223,35,77,1,250604,2178
77,North Macedonia,8786,+163,406,+5,4676,+111,3704,55,4217,195,83216,39943
78,Malaysia,8755,+18,122,N/A,8541,+3,92,3,270,4,868394,26816
79,Senegal,8544,+63,160,+4,5809,+74,2575,40,510,10,95152,5677
80,Bulgaria,8442,+298,297,+4,4033,+106,4112,33,1215,43,201363,28991
81,DRC,8249,+50,193,N/A,4248,N/A,3808,N/A,92,2,N/A,N/A
82,Bosnia and Herzegovina,7908,+227,245,+5,3612,+78,4051,N/A,2411,75,117902,35948
83,Palestine,7764,+352,53,+2,1492,+179,6219,N/A,1521,10,141444,27702
84,Finland,7301,+8,328,N/A,6880,N/A,93,1,1318,59,300400,54213
85,Haiti,6948,+46,145,N/A,3606,+122,3197,N/A,609,13,15270,1338
86,Tajikistan,6786,+45,56,N/A,5483,+52,1247,N/A,711,6,N/A,N/A
87,French Guiana,6509,+116,34,N/A,3932,+114,2543,25,21772,114,12013,40183
88,Madagascar,6467,+378,54,+1,3108,+157,3305,86,233,2,31774,1146
89,Guinea,6430,+71,39,N/A,5233,+221,1158,24,489,3,14407,1096
90,Gabon,6315,+194,46,N/A,3865,+201,2404,11,2835,21,57095,25630
91,Mauritania,5710,+51,151,+1,3153,+160,2406,7,1227,32,13842,2974
92,Luxembourg,5409,+124,111,N/A,4333,+58,965,4,8635,177,325741,520025
93,Djibouti,5003,+10,56,N/A,4809,+13,138,N/A,5061,57,53305,53920
94,CAR,4389,+16,53,N/A,1288,+23,3048,2,908,11,27864,5765
95,Hungary,4293,+14,595,N/A,3220,+64,478,4,444,62,302749,31343
96,Croatia,4137,+98,120,N/A,2825,+96,1192,7,1008,29,100851,24574
