#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3795314,+25302,142420,+356,1753273,+12040,1899621,16675,11463,430,46851210,141505
2,Brazil,2053174,+4477,78097,+165,1366775,N/A,608302,8318,9656,367,4911063,23097
3,India,1055932,+15475,26508,+223,664461,+10383,364963,8944,765,19,13433742,9730
4,Russia,765437,+6234,12247,+124,546863,+7490,206327,2300,5245,84,24676930,169092
5,Peru,345537,N/A,12799,N/A,233982,N/A,98756,1314,10474,388,2023996,61350
6,South Africa,337594,N/A,4804,N/A,178183,N/A,154607,539,5689,81,2373053,39990
7,Mexico,331298,+7257,38310,+736,208436,+4972,84552,378,2568,297,799178,6196
8,Chile,328846,+2307,8445,+98,299449,+2635,20952,1792,17196,442,1388319,72597
9,Spain,307335,N/A,28420,N/A,N/A,N/A,N/A,617,6573,608,6026446,128892
10,UK,294066,+827,45273,+40,N/A,N/A,N/A,142,4331,667,13112764,193111
11,Iran,271606,+2166,13979,+188,235300,+2427,22327,3529,3232,166,2123518,25268
12,Pakistan,261916,+1917,5522,+47,198509,+14772,57885,1604,1185,25,1699101,7686
13,Saudi Arabia,248416,+2565,2447,+40,194218,+3057,51751,2182,7131,70,2622786,75289
14,Italy,244216,+249,35042,+14,196806,+323,12368,50,4039,580,6202524,102593
15,Turkey,217799,N/A,5458,N/A,199834,N/A,12507,1226,2581,65,4191124,49670
16,Germany,202442,+97,9162,+2,187500,+300,5780,249,2416,109,6884614,82159
17,Bangladesh,202066,+2709,2581,+34,110098,+1373,89387,1,1226,16,1017674,6177
18,Colombia,182140,N/A,6288,N/A,80637,N/A,95215,1027,3578,124,1159562,22778
19,France,174674,N/A,30152,N/A,79233,N/A,65289,477,2676,462,2618722,40115
20,Argentina,119301,N/A,2204,+26,52607,+2827,64490,752,2639,49,531753,11761
21,Canada,109835,+166,8841,+2,96819,+130,4175,2177,2909,234,3438041,91057
22,Qatar,106308,+410,154,+1,103023,+426,3131,132,37862,55,438990,156346
23,Iraq,90220,+2049,3691,+75,58492,+1997,28037,397,2241,92,777287,19308
24,Egypt,86474,N/A,4188,N/A,27302,N/A,54984,41,844,41,135000,1318
25,Indonesia,84882,+1752,4016,+59,43268,+1434,37598,N/A,310,15,1201014,4389
26,Sweden,77281,N/A,5619,N/A,N/A,N/A,N/A,62,7650,556,681820,67492
27,Ecuador,72444,N/A,5250,N/A,31404,N/A,35790,313,4104,297,199115,11279
28,Kazakhstan,68703,+1808,375,N/A,40256,N/A,28072,221,3657,20,1737546,92490
29,Belarus,65953,+171,495,+4,57856,+486,7602,89,6980,52,1183007,125197
30,Oman,65504,+1311,308,+10,42772,+1322,22424,164,12815,60,266845,52207
31,Philippines,65304,+2357,1773,+113,22067,+321,41464,522,596,16,1117568,10193
32,Belgium,63499,+261,9800,+5,17289,+20,36410,28,5478,845,1444885,124645
