#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3836674,+3403,142893,+16,1775491,+272,1918290,16668,11588,432,47629549,143854
2,Brazil,2075246,N/A,78817,N/A,1366775,N/A,629654,8318,9760,371,4911063,23096
3,India,1086476,+8612,26951,+123,684662,+7032,374863,8944,787,20,13791869,9989
4,Russia,771546,+6109,12342,+95,550344,+3481,208860,2300,5287,85,24991740,171249
5,South Africa,350879,N/A,4948,N/A,182230,N/A,163701,539,5913,83,2422741,40826
6,Peru,349500,N/A,12998,N/A,238086,N/A,98416,1311,10593,394,2042218,61900
7,Mexico,338913,+7615,38888,+578,213006,+4570,87019,378,2627,301,814653,6315
8,Chile,328846,N/A,8445,N/A,299449,N/A,20952,1792,17195,442,1388319,72596
9,Spain,307335,N/A,28420,N/A,N/A,N/A,N/A,617,6573,608,6026446,128892
10,UK,294066,N/A,45273,N/A,N/A,N/A,N/A,142,4331,667,13112764,193109
11,Iran,273788,+2182,14188,+209,237788,+2488,21812,3556,3258,169,2148999,25571
12,Pakistan,263496,+1580,5568,+46,204276,+5767,53652,1763,1192,25,1721660,7788
13,Saudi Arabia,250920,+2504,2486,+39,197735,+3517,50699,2180,7203,71,2670926,76668
14,Italy,244216,N/A,35042,N/A,196806,N/A,12368,50,4039,580,6202524,102594
15,Turkey,218717,N/A,5475,N/A,201013,N/A,12229,1231,2592,65,4232067,50154
16,Bangladesh,204525,+2459,2618,+37,111642,+1544,90265,1,1241,16,1028299,6241
17,Germany,202631,+59,9162,N/A,187800,+300,5669,249,2418,109,6884614,82158
18,Colombia,190700,N/A,6516,N/A,85836,N/A,98348,1040,3746,128,1185984,23297
19,France,174674,N/A,30152,N/A,79233,N/A,65289,477,2676,462,2618722,40115
20,Argentina,122524,N/A,2246,+26,54105,+1498,66173,752,2710,50,541238,11970
21,Canada,109999,N/A,8848,N/A,96914,N/A,4237,2177,2913,234,3481804,92214
22,Qatar,106648,+340,157,+3,103377,+354,3114,128,37983,56,441700,157311
23,Iraq,90220,N/A,3691,N/A,58492,N/A,28037,397,2241,92,777287,19307
24,Egypt,87172,N/A,4251,N/A,27868,N/A,55053,41,851,42,135000,1318
