#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3591699,+46622,139720,+577,1624559,+24364,1827420,16307,10849,422,44514731,134455
2,Brazil,1939167,+7963,74445,+183,1213512,N/A,651210,8318,9121,350,4572796,21507
3,India,970169,+32682,24929,+614,613735,+20655,331505,8944,703,18,12412664,8991
4,Russia,746369,+6422,11770,+156,523249,+10424,211350,2300,5114,81,23754645,162773
5,Peru,333867,N/A,12229,N/A,223261,N/A,98377,1325,10121,371,1963921,59535
6,Chile,321205,+1712,7186,+117,292085,+2865,21934,1915,16797,376,1334712,69799
7,Mexico,311486,+7051,36327,+836,193976,+4913,81183,378,2415,282,756137,5862
8,South Africa,311049,+12757,4453,+107,160693,+14414,145903,539,5242,75,2278127,38395
9,Spain,304574,+875,28413,+4,N/A,N/A,N/A,617,6514,608,6026446,128893
10,UK,291911,+538,45053,+85,N/A,N/A,N/A,145,4299,664,12461869,183534
11,Iran,264561,+2388,13410,+199,227561,+2291,23590,3411,3148,160,2048049,24373
12,Pakistan,255769,+2165,5386,+66,172810,+2154,77573,2078,1157,24,1627939,7365
13,Italy,243506,+162,34997,+13,196016,+575,12493,57,4028,579,6053060,100120
14,Saudi Arabia,240474,+2671,2325,+42,183048,+5488,55101,2221,6904,67,2436683,69956
15,Turkey,215940,+947,5419,+17,197733,+1013,12788,1206,2559,64,4107498,48684
16,Germany,201050,+284,9146,+2,186000,+500,5904,248,2399,109,6376054,76092
17,Bangladesh,193590,+3533,2457,+33,105523,+2296,85610,1,1175,15,980402,5951
18,France,173304,+416,30120,+20,78820,+150,64364,482,2655,461,2489269,38133
19,Colombia,159898,N/A,5625,N/A,68806,N/A,85467,875,3141,111,1082415,21265
20,Canada,108719,+233,8810,+12,72377,+207,27532,2170,2880,233,3302483,87473
21,Argentina,106910,N/A,1987,+19,47298,+1831,57625,752,2365,44,495065,10950
22,Qatar,104983,+450,151,+1,101637,+477,3195,135,37390,54,424858,151313
23,Egypt,83930,N/A,4008,N/A,25544,N/A,54378,41,820,39,135000,1318
24,Iraq,83867,+2110,3432,+87,52621,+1839,27814,374,2084,85,728737,18106
25,Indonesia,80094,+1522,3797,+87,39050,+1414,37247,N/A,293,14,1122339,4102
26,Sweden,76001,N/A,5545,N/A,N/A,N/A,N/A,81,7524,549,681820,67496
27,Ecuador,69570,N/A,5130,N/A,30484,N/A,33956,313,3941,291,186879,10587
28,Belarus,65443,+174,480,+6,56379,+580,8584,89,6926,51,1151734,121887
29,Kazakhstan,63514,+1759,375,N/A,38008,+2097,25131,221,3381,20,1737546,92499
30,Belgium,62872,+91,9788,+1,17242,+19,35842,27,5424,844,1398080,120612
31,Oman,61247,+1679,281,+8,39038,+1051,21928,139,11985,55,253444,49595
32,Philippines,58850,+1392,1614,+11,20976,+517,36260,333,537,15,1019263,9297
33,Kuwait,56877,+703,399,+3,46897,+736,9581,146,13312,93,445184,104193
34,UAE,55848,+275,335,N/A,46418,+393,9095,1,5644,34,4052000,409518
35,Ukraine,55607,+836,1427,+15,28131,+977,26049,93,1272,33,827157,18918
36,Netherlands,51252,+106,6136,+1,N/A,N/A,N/A,20,2991,358,764079,44588
37,Bolivia,50867,+1617,1898,+32,15819,+525,33150,71,4356,163,111416,9540
38,Panama,48096,N/A,960,N/A,24667,+4,22469,157,11141,222,171116,39638
39,Dominican Republic,47671,+1366,929,+19,23459,+325,23283,246,4393,86,198496,18291
40,Portugal,47426,+375,1676,+8,32110,+560,13640,68,4652,164,1366864,134066
41,Singapore,46878,+249,27,N/A,42988,+251,3863,N/A,8011,5,1009532,172509
42,Israel,43668,+1308,375,+4,19894,+229,23399,205,4748,41,1317362,143229
43,Poland,38721,+264,1594,+6,28492,+736,8635,73,1023,42,1860592,49164
44,Afghanistan,34994,+254,1094,+46,22456,+1002,11444,31,898,28,81934,2103
45,Romania,34226,+641,1952,+21,22049,+246,10225,248,1780,101,886918,46117
46,Bahrain,34078,N/A,116,+5,29753,N/A,4209,46,20011,68,685318,402434
47,Nigeria,33616,N/A,754,N/A,13792,N/A,19070,7,163,4,186309,903
48,Switzerland,33148,+132,1968,N/A,29800,N/A,1380,20,3829,227,700326,80897
49,Armenia,33005,+515,592,+11,21348,+619,11065,10,11137,200,139220,46979
50,Guatemala,30872,N/A,1302,N/A,4453,N/A,25117,5,1722,73,64590,3603
51,Honduras,29106,+527,807,+18,3287,+164,25012,58,2937,81,49308,4976
52,Ireland,25683,+13,1748,+2,23364,N/A,571,9,5199,354,527746,106837
53,Azerbaijan,25672,+559,326,+7,16695,+545,8651,66,2531,32,592778,58445
54,Ghana,25252,+264,139,N/A,21397,+330,3716,8,812,4,334101,10745
55,Japan,22220,N/A,982,N/A,18282,N/A,2956,40,176,8,574432,4542
56,Algeria,20770,+554,1040,+12,14792,+497,4938,61,473,24,N/A,N/A
57,Moldova,20040,+332,659,+4,13298,+265,6083,358,4968,163,101180,25084
58,Serbia,19334,+351,429,+11,14047,+56,4858,169,2213,49,515395,58998
59,Austria,19154,+133,710,+1,17175,+102,1269,10,2126,79,716293,79514
60,Nepal,17177,+116,39,+1,11025,+697,6113,N/A,589,1,611231,20966
61,Morocco,16262,+165,259,+2,13821,+379,2182,31,440,7,924695,25042
62,Cameroon,15173,N/A,359,N/A,11928,N/A,2886,52,571,14,120837,4549
63,Uzbekistan,14466,+381,71,+4,8343,+16,6052,43,432,2,1377915,41150
64,S. Korea,13551,+39,289,N/A,12348,+66,914,15,264,6,1431316,27917
65,Czechia,13421,+80,355,N/A,8505,+64,4561,21,1253,33,606878,56666
66,Denmark,13092,+31,610,N/A,12182,+22,300,6,2260,105,1276389,220333
67,Ivory Coast,13037,N/A,87,N/A,6908,N/A,6042,N/A,494,3,78066,2957
68,Kyrgyzstan,11977,+533,160,+11,3660,+122,8157,24,1835,25,259793,39799
