#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,4270828,+22501,148829,+339,2029383,+1309,2092616,19098,12898,449,52680946,159095
2,Brazil,2348200,N/A,85385,N/A,1592281,N/A,670534,8318,11042,402,4911063,23094
3,India,1382995,+45973,32078,+672,883793,+33686,467124,8944,1002,23,15849068,11478
4,Russia,806720,+5871,13192,+146,597140,+8366,196388,2300,5528,90,26610623,182341
5,South Africa,421996,N/A,6343,N/A,245771,N/A,169882,539,7110,107,2684488,45228
6,Mexico,378285,+7573,42645,+737,242692,+6483,92948,3889,2932,331,896124,6946
7,Peru,375961,N/A,17843,N/A,259423,N/A,98695,1389,11393,541,2183763,66175
8,Chile,341304,N/A,8914,N/A,313696,N/A,18694,1636,17844,466,1485711,77677
9,Spain,319501,N/A,28432,N/A,N/A,N/A,N/A,617,6833,608,6320836,135188
10,UK,298681,+767,45738,+61,N/A,N/A,N/A,110,4398,674,14568733,214532
11,Iran,288839,+2316,15484,+195,251319,+2107,22036,3670,3436,184,2302634,27393
12,Pakistan,271887,+1487,5787,+24,236596,+16813,29504,1294,1229,26,1844926,8343
13,Saudi Arabia,264973,+2201,2703,+31,217782,+2051,44488,2120,7604,78,2946928,84568
14,Italy,245590,N/A,35097,N/A,198192,N/A,12301,46,4062,581,6468375,106994
15,Colombia,233541,N/A,7975,N/A,113864,N/A,111702,1493,4587,157,1349502,26504
16,Turkey,224252,N/A,5580,N/A,207374,N/A,11298,1248,2657,66,4489360,53194
17,Bangladesh,221178,+2520,2874,+38,122090,+1114,96214,1,1342,17,1101480,6684
18,Germany,206077,+117,9201,N/A,190400,N/A,6476,237,2459,110,7418812,88528
19,France,180528,N/A,30192,N/A,80815,N/A,69521,410,2765,462,2982302,45683
20,Argentina,153520,N/A,2847,+40,68022,+2575,82651,902,3395,63,623893,13796
21,Canada,113206,N/A,8881,N/A,98873,N/A,5452,2221,2998,235,3717483,98442
22,Qatar,109036,+398,164,N/A,105750,+330,3122,98,38833,58,469000,167034
23,Iraq,107573,+2862,4284,+72,73317,+2049,29972,449,2671,106,895187,22227
24,Indonesia,97286,+1868,4714,+49,55354,+1409,37218,N/A,355,17,1361207,4973
26,Kazakhstan,80226,+1740,585,N/A,51260,+1772,28381,221,4269,31,1894815,100838
27,Ecuador,79049,N/A,5468,N/A,34544,N/A,39037,346,4476,310,221152,12523
28,Sweden,78997,N/A,5697,N/A,N/A,N/A,N/A,50,7819,564,751213,74353
29,Philippines,78412,+1968,1897,+18,25752,+1250,50763,351,715,17,1299445,11849
30,Oman,74858,+1067,371,+12,54061,+1054,20426,167,14638,73,290726,56851
31,Belarus,67002,+156,530,+6,60092,+337,6380,89,7091,56,1241624,131401
32,Bolivia,66456,+1204,2473,+66,20614,+584,43369,71,5688,212,144045,12330
33,Belgium,65199,+352,9817,+5,17394,+25,37988,41,5624,847,1514046,130601
34,Ukraine,63929,+1106,1590,+19,35497,+611,26842,91,1462,36,937006,21434
35,Kuwait,63309,+684,429,+4,53607,+692,9273,123,14811,100,479411,112158
36,Dominican Republic,60896,+1819,1055,+19,27980,+355,31861,267,5610,97,235289,21676
37,Israel,59475,N/A,448,N/A,26797,N/A,32230,308,6466,49,1597269,173662
38,UAE,58562,+313,343,N/A,51628,+393,6591,N/A,5917,35,4776904,482621
39,Panama,57993,N/A,1250,N/A,32704,N/A,24039,158,13428,289,200986,46537
40,Netherlands,52595,N/A,6139,N/A,N/A,N/A,N/A,16,3069,358,851885,49709
41,Portugal,49955,+263,1716,+4,35010,+323,13229,50,4900,168,1528600,149941
42,Singapore,49888,+513,27,N/A,45352,+180,4509,N/A,8523,5,1170049,199896
43,Romania,43678,+1284,2165,+15,25373,+24,16140,315,2272,113,1087783,56571
44,Guatemala,43283,N/A,1669,N/A,30150,N/A,11464,5,2413,93,135434,7551
45,Poland,42622,+584,1664,+9,32419,+422,8539,61,1126,44,2068983,54672
46,Nigeria,39539,N/A,845,N/A,16559,N/A,22135,7,192,4,256038,1240
47,Bahrain,38458,N/A,137,+1,34826,N/A,3495,48,22562,80,771500,452611
48,Honduras,37559,+657,1061,+50,4607,+159,31891,51,3788,107,93526,9434
49,Armenia,36996,+383,700,+8,26243,+509,10053,10,12483,236,155664,52525
50,Afghanistan,36036,+55,1248,+23,24793,+191,9995,31,925,32,86166,2211
51,Switzerland,34302,+148,1977,N/A,30500,,1825,20,3962,228,758836,87638
52,Kyrgyzstan,32124,+877,1249,+38,19203,+1165,11672,24,4919,191,267718,40994
53,Ghana,31057,N/A,161,N/A,27801,N/A,3095,6,998,5,365281,11741
54,Azerbaijan,29633,+321,408,+8,22082,+535,7143,66,2921,40,667819,65827
55,Japan,27956,N/A,992,N/A,21328,N/A,5636,68,221,8,697512,5516
56,Algeria,26159,N/A,1136,N/A,17369,N/A,7654,66,596,26,N/A,N/A
57,Ireland,25845,N/A,1763,N/A,23364,N/A,718,5,5230,357,600342,121496
58,Serbia,23263,+411,526,+8,14047,N/A,8690,170,2663,60,611333,69987
59,Moldova,22828,+345,732,+6,15608,+201,6488,362,5660,181,128076,31755
60,Austria,20338,+124,712,+1,18124,+82,1502,16,2257,79,840890,93331
61,Uzbekistan,19755,+395,109,+3,10472,N/A,9174,138,590,3,1377915,41133
62,Morocco,18834,N/A,299,N/A,16100,N/A,2435,31,510,8,1105271,29922
63,Nepal,18483,+109,45,+1,13053,+106,5385,N/A,634,2,647484,22199
64,Cameroon,16708,N/A,385,N/A,14539,N/A,1784,30,629,14,145000,5455
65,Kenya,16268,N/A,274,N/A,7446,N/A,8548,44,302,5,261027,4848
66,Ivory Coast,15253,N/A,94,N/A,9499,N/A,5660,N/A,577,4,89920,3404
67,Czechia,15081,N/A,369,N/A,9422,N/A,5290,22,1408,34,650650,60750
68,Venezuela,14263,N/A,134,N/A,8127,N/A,6002,20,502,5,1481427,52107
69,El Salvador,14221,+429,390,+11,7549,+134,6282,486,2192,60,221820,34187
70,S. Korea,14092,+113,298,N/A,12866,+49,928,15,275,6,1518634,29619
71,Australia,13948,+353,145,+6,9017,+88,4786,46,547,6,3854223,151037
72,Costa Rica,13669,N/A,87,N/A,3505,N/A,10077,49,2682,17,74375,14592
73,Denmark,13438,N/A,613,N/A,12340,N/A,485,3,2319,106,1411757,243677
74,Ethiopia,13248,+555,209,+9,5966,+181,7073,66,115,2,372812,3238
75,Sudan,11302,N/A,715,N/A,5855,N/A,4732,N/A,257,16,401,9
76,Palestine,10306,+213,71,+1,3282,+562,6953,N/A,2018,14,155355,30413
77,Bulgaria,10123,N/A,337,N/A,5252,N/A,4534,28,1458,49,233631,33642
