#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,4028569,N/A,144953,N/A,1886583,N/A,1997033,16710,12167,438,49913553,150745
2,Brazil,2166532,N/A,81597,N/A,1465970,N/A,618965,8318,10189,384,4911063,23095
3,India,1194085,N/A,28770,N/A,752393,N/A,412922,8944,865,21,14381303,10416
4,Russia,783328,N/A,12580,N/A,562384,N/A,208364,2300,5368,86,25449167,174383
5,South Africa,381798,N/A,5368,N/A,208144,N/A,168286,539,6433,90,2536921,42746
6,Peru,362087,N/A,13579,N/A,248746,N/A,99762,1342,10974,412,2109202,63923
7,Mexico,356255,+6859,40400,+915,227165,+5097,88690,3812,2762,313,845272,6552
8,Chile,334683,N/A,8677,N/A,306816,N/A,19190,1728,17499,454,1432980,74926
9,Spain,313274,N/A,28424,N/A,N/A,N/A,N/A,617,6700,608,6320836,135188
10,UK,295817,N/A,45422,N/A,N/A,N/A,N/A,142,4356,669,13572759,199874
11,Iran,278827,N/A,14634,N/A,242351,N/A,21842,3589,3317,174,2201958,26198
12,Pakistan,266096,N/A,5639,N/A,208030,N/A,52427,1481,1203,26,1758551,7953
13,Saudi Arabia,255825,N/A,2557,N/A,207259,N/A,46009,2184,7342,73,2784874,79928
14,Italy,244752,N/A,35073,N/A,197431,N/A,12248,49,4048,580,6305412,104297
15,Turkey,221500,N/A,5526,N/A,204011,N/A,11963,1246,2625,65,4359627,51661
16,Colombia,211038,N/A,7166,N/A,98840,N/A,105032,1456,4145,141,1263700,24821
17,Bangladesh,210510,N/A,2709,N/A,115397,N/A,92404,1,1278,16,1054559,6400
18,Germany,203890,N/A,9180,N/A,188100,N/A,6610,264,2433,110,6884614,82156
19,France,177338,N/A,30165,N/A,79734,N/A,67439,455,2716,462,2884738,44189
20,Argentina,136118,N/A,2490,N/A,58598,N/A,75030,752,3010,55,563513,12462
21,Canada,111697,N/A,8862,N/A,97757,N/A,5078,2193,2958,235,3616728,95781
22,Qatar,107430,N/A,160,N/A,104191,N/A,3079,119,38261,57,451168,160684
23,Iraq,97159,N/A,3950,N/A,64950,N/A,28259,431,2413,98,809522,20104
24,Indonesia,89869,N/A,4320,N/A,48466,N/A,37083,N/A,328,16,1257807,4596
25,Egypt,89078,N/A,4399,N/A,29473,N/A,55206,41,870,43,135000,1318
26,Sweden,78166,N/A,5646,N/A,N/A,N/A,N/A,58,7737,559,681820,67488
27,Ecuador,76217,N/A,5366,N/A,32725,N/A,38126,347,4317,304,207780,11768
28,Kazakhstan,73468,N/A,585,N/A,45376,N/A,27507,221,3910,31,1791293,95338
29,Philippines,70764,N/A,1837,N/A,23281,N/A,45646,351,645,17,1190937,10860
30,Oman,69887,N/A,337,N/A,46608,N/A,22942,169,13669,66,279446,54657
31,Belarus,66348,N/A,507,N/A,58592,N/A,7249,89,7022,54,1202214,127230
32,Belgium,64258,+164,9805,N/A,17330,+9,37123,35,5543,846,1474305,127177
33,Bolivia,62357,+1366,2273,+55,19290,+415,40794,71,5338,195,135760,11622
34,Kuwait,60434,N/A,412,N/A,50919,N/A,9103,127,14140,96,466861,109235
35,Ukraine,60166,N/A,1518,N/A,32199,N/A,26449,89,1376,35,894393,20459
36,UAE,57498,N/A,341,N/A,49964,N/A,7193,1,5810,34,4576202,462389
37,Panama,55153,N/A,1159,N/A,30075,N/A,23919,164,12772,268,192085,44482
38,Dominican Republic,54797,N/A,999,N/A,25976,N/A,27822,244,5049,92,216481,19945
39,Israel,54042,N/A,425,N/A,22743,N/A,30874,256,5876,46,1503999,163521
40,Netherlands,52073,N/A,6136,N/A,N/A,N/A,N/A,16,3039,358,851885,49710
