#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3951704,+53154,143684,+395,1837793,+35455,1970227,16575,11935,434,49023618,148062
2,Brazil,2118646,+18750,80120,+587,1409202,+37973,629324,8318,9964,377,4911063,23096
3,India,1154917,+36810,28099,+596,724702,+24303,402116,8944,836,20,14047908,10175
4,Russia,777486,+5940,12427,+85,553602,+3258,211457,2300,5328,85,25251614,173030
5,South Africa,364328,N/A,5033,N/A,191059,N/A,168236,539,6139,85,2471747,41651
6,Peru,357681,+4091,13384,+197,245081,+3126,99216,1303,10841,406,2084311,63173
7,Mexico,344224,+5311,39184,+296,217423,+4417,87617,378,2668,304,821922,6372
8,Chile,333029,+2099,8633,+130,303992,+2198,20404,1764,17414,451,1420390,74271
9,Spain,311916,+1527,28422,+2,N/A,N/A,N/A,617,6671,608,6026446,128892
10,UK,295372,+580,45312,+12,N/A,N/A,N/A,142,4350,667,13459190,198208
11,Iran,276202,+2414,14405,+217,240087,+2299,21710,3583,3286,171,2175217,25882
12,Pakistan,265083,+1587,5599,+31,205929,+1653,53555,1552,1199,25,1740768,7874
13,Saudi Arabia,253349,+2429,2523,+37,203259,+5524,47567,2196,7272,72,2728424,78315
14,Italy,244624,+190,35058,+13,197162,+213,12404,47,4046,580,6262302,103583
15,Turkey,220572,+931,5508,+17,203002,+992,12062,1243,2614,65,4316781,51157
16,Bangladesh,207453,+2928,2668,+50,113556,+1914,91229,1,1259,16,1041661,6322
17,Germany,203486,+641,9172,+9,187800,N/A,6514,264,2428,109,6884614,82157
18,Colombia,197278,,6736,N/A,91793,N/A,98749,1040,3875,132,1210063,23769
19,France,176754,+350,30177,+8,79233,N/A,67344,477,2708,462,2764345,42345
20,Argentina,126755,N/A,2281,+21,55913,+1808,68561,752,2803,50,552306,12215
21,Canada,110635,+297,8855,+3,97300,+249,4480,2177,2930,235,3520542,93238
22,Qatar,107037,+389,159,+2,103782,+405,3096,126,38121,57,446036,158856
23,Iraq,94693,+2163,3869,+88,62836,+2308,27988,431,2352,96,809522,20107
24,Egypt,88402,+627,4352,+50,28924,+544,55126,41,863,42,135000,1318
25,Indonesia,88214,+1693,4239,+96,46977,+1576,36998,N/A,322,15,1235545,4515
26,Sweden,78048,+36,5639,+10,N/A,N/A,N/A,48,7726,558,681820,67490
27,Ecuador,74620,+607,5318,+5,31955,+54,37347,342,4226,301,204162,11564
28,Kazakhstan,71838,+1499,375,N/A,43029,N/A,28434,221,3824,20,1791293,95344
29,Philippines,68898,+1521,1835,+4,23072,+607,43991,351,628,17,1168965,10661
30,Oman,68400,+1739,326,+8,45150,+1146,22924,170,13380,64,274745,53745
31,Belarus,66213,+118,503,+4,58290,+86,7420,89,7007,53,1999317,211587
32,Belgium,63893,+187,9800,N/A,17289,N/A,36804,28,5512,845,1444885,124642
33,Kuwait,59763,+559,408,N/A,50339,+652,9016,138,13984,95,462704,108272
34,Bolivia,59582,+1444,2151,+45,18553,+353,38878,71,5101,184,128410,10993
35,Ukraine,59493,+651,1498,+13,31439,+560,26556,89,1361,34,881997,20174
36,UAE,57193,+271,340,+1,49621,+352,7232,1,5779,34,4536152,458373
37,Dominican Republic,53956,+1101,993,+12,25561,+467,27402,244,4971,91,216481,19946
38,Panama,53468,N/A,1096,N/A,28482,N/A,23890,175,12383,254,187041,43317
39,Israel,52003,+1714,415,+6,22154,+479,29434,264,5654,45,1477455,160635
40,Netherlands,51910,+185,6136,N/A,N/A,N/A,N/A,17,3029,358,764079,44587
41,Portugal,48771,+135,1691,+2,33547,+178,13533,61,4784,166,1466662,143860
42,Singapore,48035,+123,27,N/A,44371,+285,3637,N/A,8207,5,1009532,172491
43,Poland,40383,+279,1627,+3,30539,+247,8217,72,1067,43,1971736,52101
44,Guatemala,38677,N/A,1485,N/A,23365,N/A,13827,5,2157,83,120658,6729
45,Romania,38139,+681,2038,+12,22747,+130,13354,293,1983,106,967192,50295
46,Bahrain,36936,+514,128,+2,32965,+593,3843,46,21679,75,735492,431692
47,Nigeria,36663,N/A,789,N/A,15105,N/A,20769,7,178,4,212201,1028
48,Afghanistan,35526,+51,1185,+4,23741,+107,10600,31,912,30,83937,2154
49,Armenia,34981,+104,650,+9,23502,+208,10829,10,11804,219,147108,49639
50,Honduras,33835,+1042,900,+9,3801,+140,29134,51,3414,91,78825,7953
51,Switzerland,33634,+43,1971,+2,30300,N/A,1363,22,3885,228,728292,84119
52,Azerbaijan,27890,+369,363,+9,19490,+523,8037,66,2749,36,634698,62570
53,Ghana,27667,N/A,148,N/A,23249,N/A,4270,8,890,5,346990,11157
54,Kyrgyzstan,27143,+611,1037,+34,13109,+781,12997,24,4157,159,262894,40264
55,Ireland,25766,+6,1753,N/A,23364,N/A,649,9,5215,355,567819,114932
56,Japan,24642,N/A,985,N/A,19576,N/A,4081,43,195,8,634997,5022
57,Algeria,23691,+607,1087,+9,16400,+349,6204,64,540,25,N/A,N/A
58,Serbia,21253,+359,482,+10,14047,N/A,6724,190,2433,55,558440,63928
59,Moldova,21115,+135,695,+11,14467,+91,5953,362,5235,172,128076,31754
60,Austria,19743,+88,711,N/A,17659,+60,1373,16,2191,79,798436,88626
61,Nepal,17844,+186,40,N/A,11868,+173,5936,N/A,612,1,632274,21682
62,Morocco,17562,+326,276,+3,15132,+211,2154,31,476,7,1027773,27829
63,Uzbekistan,17149,+542,90,+5,9387,+209,7672,70,512,3,1377915,41141
64,Cameroon,16157,N/A,373,N/A,13728,N/A,2056,52,608,14,135000,5080
65,Ivory Coast,14312,+193,92,N/A,8659,+293,5561,N/A,542,3,83753,3172
66,Czechia,13975,+30,359,N/A,8813,+52,4803,18,1305,34,626610,58507
67,S. Korea,13771,+26,296,+1,12572,+16,903,19,269,6,1470193,28675
68,Kenya,13771,+418,238,+4,5616,+494,7917,44,256,4,246361,4577
69,Denmark,13262,+89,611,N/A,12251,+42,400,3,2289,105,1333797,230232
70,El Salvador,12207,+361,344,+9,6831,+126,5032,419,1882,53,211896,32660
71,Australia,12069,+267,123,+1,8444,+171,3502,32,473,5,3527011,138237
72,Venezuela,11891,N/A,112,N/A,3972,N/A,7807,17,418,4,1426989,50191
73,Costa Rica,11534,+420,66,+4,3019,+53,8449,47,2263,13,68755,13491
74,Sudan,10992,N/A,693,N/A,5707,N/A,4592,N/A,250,16,401,9
75,Ethiopia,9503,N/A,167,N/A,2430,N/A,6906,35,83,1,250604,2178
76,North Macedonia,9249,+96,432,+10,4871,+61,3946,55,4439,207,86543,41540
77,Norway,9034,+6,255,N/A,8138,,641,1,1666,47,404498,74584
78,Senegal,8948,+138,170,+3,6002,+54,2776,34,534,10,97293,5804
79,Palestine,8916,+367,63,+1,1921,N/A,6932,N/A,1746,12,155355,30423
80,Malaysia,8800,+21,123,N/A,8555,+2,122,3,272,4,889744,27473
81,Bulgaria,8733,N/A,300,N/A,4106,N/A,4327,34,1257,43,206521,29735
82,Bosnia and Herzegovina,8479,+139,255,+6,3755,+86,4469,N/A,2585,78,121529,37056
83,DRC,8443,+40,194,N/A,4335,N/A,3914,N/A,94,2,N/A,N/A
84,Finland,7340,+5,328,N/A,6880,N/A,132,1,1325,59,311200,56161
85,Madagascar,7153,+104,62,+3,3788,+290,3303,72,258,2,33138,1195
86,Haiti,7053,N/A,146,N/A,3877,N/A,3030,N/A,618,13,15645,1371
87,Tajikistan,6921,+43,57,N/A,5629,+51,1235,N/A,725,6,N/A,N/A
88,French Guiana,6745,+90,38,+1,4714,+442,1993,22,22558,127,33097,110691
89,Guinea,6544,N/A,39,N/A,5511,N/A,994,24,498,3,14407,1096
90,Gabon,6315,N/A,46,N/A,3865,N/A,2404,11,2834,21,57095,25626
91,Mauritania,5873,N/A,155,N/A,3436,N/A,2282,8,1262,33,13842,2974
92,Luxembourg,5639,+34,111,N/A,4464,+131,1064,7,9002,177,348610,556484
93,Djibouti,5020,+9,56,N/A,4868,+30,96,N/A,5077,57,54235,54856
94,CAR,4485,N/A,55,N/A,1348,N/A,3082,2,928,11,28211,5836
95,Croatia,4370,+25,122,+2,3101,+83,1147,9,1065,30,104132,25374
96,Hungary,4339,+6,596,N/A,3232,+9,511,5,449,62,310070,32102
97,Albania,4171,+81,113,+1,2352,+41,1706,17,1449,39,31383,10906
98,Greece,4012,+5,195,+1,1374,N/A,2443,12,385,19,410766,39420
99,Paraguay,3721,N/A,31,N/A,1918,N/A,1772,10,521,4,105122,14730
100,Zambia,3326,+178,128,+8,1620,+123,1578,19,181,7,69296,3765
101,Thailand,3250,+1,58,N/A,3096,N/A,96,1,47,0.8,603657,8647
102,Nicaragua,3147,N/A,99,N/A,2282,N/A,766,N/A,475,15,N/A,N/A
103,Somalia,3119,N/A,93,N/A,1457,N/A,1569,2,196,6,N/A,N/A
104,Equatorial Guinea,3071,N/A,51,N/A,842,N/A,2178,N/A,2186,36,16000,11390
105,Maldives,2999,+33,15,N/A,2369,+7,615,12,5544,28,67985,125670
106,Malawi,2992,+85,62,+3,1153,+18,1777,4,156,3,24192,1263
107,Lebanon,2905,+46,41,+1,1562,+47,1302,14,426,6,216702,31757
108,Mayotte,2808,+26,38,+1,2591,N/A,179,3,10282,139,13000,47603
109,Sri Lanka,2730,+6,11,N/A,2041,+6,678,1,127,0.5,139591,6517
110,Congo,2633,N/A,49,,626,N/A,1958,N/A,477,9,N/A,N/A
111,Mali,2475,N/A,121,N/A,1851,+23,503,N/A,122,6,19995,986
112,Cuba,2446,N/A,87,,2308,N/A,51,N/A,216,8,226443,19993
113,South Sudan,2211,+11,45,+2,1175,N/A,991,N/A,197,4,12044,1075
114,Montenegro,2188,N/A,32,N/A,385,N/A,1771,7,3484,51,29632,47179
115,Cabo Verde,2071,+26,21,N/A,1063,+90,987,N/A,3723,38,41634,74843
