#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,4113939,+13064,146378,+195,1943698,+1061,2023863,19175,12424,442,50837583,153533
2,Brazil,2234602,+2731,82925,+35,1532138,N/A,619539,8318,10508,390,4911063,23095
3,India,1263336,+23652,30122,+232,800158,+15892,433056,8944,915,22,15075369,10918
4,Russia,795038,+5848,12892,+147,580330,+8277,201816,2300,5448,88,26000908,178164
5,South Africa,394948,N/A,5940,N/A,229175,N/A,159833,539,6654,100,2585474,43562
6,Peru,366550,N/A,17455,N/A,252246,,96849,1351,11108,529,2133775,64665
7,Mexico,362274,+6019,41190,+790,231403,+4238,89681,3883,2808,319,861852,6680
8,Chile,336402,N/A,8722,N/A,309241,N/A,18439,1688,17589,456,1445773,75593
9,Spain,314631,N/A,28426,N/A,N/A,N/A,N/A,617,6729,608,6320836,135188
10,UK,296377,N/A,45501,N/A,N/A,N/A,N/A,142,4364,670,13763289,202677
11,Iran,284034,+2621,15074,+221,247230,+2390,21730,3667,3379,179,2254123,26818
12,Pakistan,269191,+1763,5709,+32,213175,+2707,50307,1382,1217,26,1799290,8137
13,Saudi Arabia,260394,+2238,2635,+34,213490,+3092,44269,2170,7473,76,2894426,83069
14,Italy,245032,N/A,35082,N/A,197628,N/A,12322,48,4053,580,6354730,105113
15,Turkey,222402,N/A,5545,N/A,205214,N/A,11643,1244,2635,66,4403031,52174
16,Colombia,218428,N/A,7373,N/A,101613,N/A,109442,1456,4290,145,1292501,25386
17,Bangladesh,216110,+2856,2801,+50,119208,+2006,94101,1,1311,17,1079007,6548
18,Germany,204570,+100,9183,+1,189000,+400,6387,250,2441,110,7418812,88530
19,France,178336,N/A,30172,N/A,79957,N/A,68207,445,2732,462,2900040,44423
20,Argentina,141900,N/A,2617,+29,62815,+2284,76468,890,3138,58,593044,13115
21,Canada,112240,N/A,8870,N/A,98142,N/A,5228,2196,2972,235,3659778,96918
22,Qatar,107871,N/A,163,N/A,104641,N/A,3067,113,38418,58,455798,162332
23,Iraq,102226,+2361,4122,+80,69405,+2258,28699,375,2539,102,861165,21385
24,Indonesia,93657,+1906,4576,+117,52164,+1909,36917,N/A,342,17,1310924,4790
25,Egypt,89745,N/A,4440,N/A,30075,N/A,55230,41,876,43,135000,1318
26,Sweden,78504,N/A,5667,N/A,N/A,N/A,N/A,58,7770,561,751213,74355
27,Ecuador,77257,N/A,5418,N/A,33125,N/A,38714,313,4375,307,213002,12063
28,Kazakhstan,76799,+1646,585,N/A,48220,+1430,27994,221,4087,31,1823332,97040
29,Philippines,74390,+2200,1871,+28,24383,+760,48136,351,678,17,1243246,11337
30,Oman,72646,+1099,355,+6,51349,+3427,20942,169,14208,69,287588,56245
31,Belarus,66688,+167,519,+6,59439,+378,6730,89,7058,55,1219705,129081
32,Belgium,64627,+369,9808,+3,17347,+17,37472,41,5575,846,1501396,129512
33,Bolivia,64135,+1778,2328,+55,19721,+431,42086,71,5490,199,139337,11928
34,Kuwait,61872,+687,421,+4,52247,+727,9204,124,14476,99,474808,111090
35,Ukraine,61851,+856,1551,+17,34000,+828,26300,88,1415,35,921858,21087
36,UAE,57988,+254,342,N/A,50848,+494,6798,N/A,5859,35,4677312,472590
37,Israel,56748,+663,433,+3,23560,+250,32755,295,6170,47,1535242,166918
38,Dominican Republic,56043,N/A,1005,N/A,26466,N/A,28572,246,5163,93,222586,20507
40,Netherlands,52404,+163,6139,N/A,N/A,N/A,N/A,16,3058,358,851885,49710
