#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3267362,+47363,136332,+510,1439970,+13542,1691060,15650,9870,412,40783979,123196
2,Brazil,1768970,+9867,69406,+152,1185596,+33129,513968,8318,8321,326,4514329,21234
3,India,822570,+27728,22144,+521,516206,+20246,284220,8944,596,16,11024491,7987
4,Russia,713936,+6635,11017,+174,489068,+7752,213851,2300,4892,75,22388195,153411
5,Peru,316448,N/A,11314,N/A,207802,N/A,97332,1292,9595,343,1863278,56495
6,Chile,309274,+3058,6781,+99,278053,+3131,24440,1990,16175,355,1255359,65657
7,Spain,300988,+852,28403,+2,N/A,N/A,N/A,617,6438,607,5734599,122651
8,UK,288133,+512,44650,+48,N/A,N/A,N/A,185,4244,658,11538519,169947
9,Mexico,282283,+7280,33526,+730,172230,+4435,76527,378,2189,260,699944,5427
10,Iran,252720,+2262,12447,+142,215015,+2839,25258,3319,3008,148,1922501,22883
11,South Africa,250687,+12348,3860,+140,118232,+5171,128595,539,4226,65,2057232,34678
12,Pakistan,243599,+2751,5058,+75,149092,+3781,89449,2375,1102,23,1514858,6856
13,Italy,242639,+276,34938,+12,194273,+295,13428,65,4013,578,5854621,96836
14,Saudi Arabia,226486,+3159,2151,+51,163026,+1930,61309,2220,6504,62,2179448,62584
15,Turkey,210965,+1003,5323,+23,191883,+1493,13759,1182,2501,63,3881410,46011
16,Germany,199475,+277,9129,+4,184000,+400,6346,278,2381,109,6376054,76095
17,Bangladesh,178443,+2949,2275,+37,86406,+1862,89762,1,1083,14,921272,5593
18,France,170752,+658,30004,+25,78388,+218,62360,496,2616,460,1384633,21212
19,Colombia,133973,N/A,4714,N/A,56272,N/A,72987,875,2632,93,945240,18572
20,Canada,107021,+216,8759,+10,70812,+238,27450,2152,2835,232,3098193,82072
21,Qatar,102630,+520,146,+4,98233,+961,4251,139,36552,52,404868,144194
22,Argentina,90693,N/A,1749,+29,38984,+671,49960,688,2006,39,445733,9860
23,Egypt,80235,+981,3702,+85,23274,+521,53259,41,784,36,135000,1319
24,Sweden,74333,N/A,5500,N/A,N/A,N/A,N/A,85,7359,545,600019,59403
25,Iraq,72460,+2848,2960,+78,41380,+1878,28120,404,1801,74,661090,16430
26,Indonesia,72347,+1611,3469,+52,33529,+878,35349,N/A,264,13,1015678,3712
27,Ecuador,65018,+797,4939,+39,29577,+393,30502,308,3684,280,174769,9903
28,Belarus,64604,+193,454,+5,54254,+645,9896,89,6837,48,1111614,117641
29,Belgium,62357,+147,9781,+3,17179,+20,35397,36,5380,844,1349831,116456
30,Kazakhstan,54747,+1726,264,N/A,35137,N/A,19346,221,2915,14,1659543,88361
31,UAE,54050,+473,330,+2,43969,+399,9751,1,5463,33,3816000,385730
32,Oman,53614,+1889,244,+8,34225,+1204,19145,130,10495,48,231211,45260
33,Kuwait,53580,+740,383,+1,43214,+528,9983,157,12543,90,427006,99959
34,Philippines,52914,+1160,1360,+46,13230,+417,38324,333,483,12,935763,8537
35,Ukraine,52043,+819,1345,+18,24800,+1016,25898,101,1190,31,773831,17697
36,Netherlands,50840,+42,6136,N/A,N/A,N/A,N/A,20,2967,358,681931,39796
37,Portugal,45679,+402,1646,+2,30350,+301,13683,66,4480,161,1316425,129114
38,Singapore,45614,+191,26,N/A,41780,+135,3808,1,7795,4,866414,148069
39,Bolivia,44113,+1129,1638,+61,13354,+471,29121,71,3778,140,99212,8497
40,Panama,42216,N/A,839,N/A,20437,N/A,20940,160,9781,194,155605,36052
41,Dominican Republic,41915,+1125,864,+22,20830,+404,20221,226,3863,80,182263,16798
42,Poland,37216,+265,1562,+11,26048,+571,9606,66,983,41,1720428,45459
43,Israel,36266,+1441,351,+3,18613,+161,17302,130,3943,38,1192111,129611
44,Afghanistan,34194,+286,971,+14,20882,+35,12341,31,878,25,78959,2028
