#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,4236874,+66556,148259,+910,2009804,+30187,2078811,19139,12795,448,52410958,158282
2,Brazil,2343366,+53415,85238,+1031,1570237,N/A,687891,8318,11020,401,4911063,23094
3,India,1337022,+48892,31406,+761,850107,+32514,455509,8944,968,23,15428170,11173
4,Russia,800849,+5811,13046,+154,588774,+8444,199029,2300,5488,89,26300652,180217
5,South Africa,421996,+13944,6343,+250,245771,+9511,169882,539,7110,107,2684488,45229
6,Peru,375961,+4865,17843,+189,259423,+3478,98695,1372,11393,541,2183763,66177
7,Mexico,370712,+8438,41908,+718,236209,+4806,92595,3878,2873,325,879608,6818
8,Chile,341304,+2545,8914,+76,313696,+2265,18694,1636,17845,466,1485711,77679
9,Spain,319501,+2255,28432,+3,N/A,N/A,N/A,617,6833,608,6320836,135188
10,UK,297914,+768,45677,+123,N/A,N/A,N/A,110,4387,673,14291673,210455
11,Iran,286523,+2489,15289,+215,249212,+1982,22022,3653,3409,182,2278384,27105
12,Pakistan,270400,+1209,5763,+54,219783,+6608,44854,1316,1223,26,1821296,8236
13,Saudi Arabia,262772,+2378,2672,+37,215731,+2241,44369,2143,7541,77,2946928,84572
14,Italy,245590,+252,35097,+5,198192,+350,12301,46,4062,581,6468375,106993
15,Colombia,226373,N/A,7688,N/A,107951,N/A,110734,1456,4446,151,1320935,25944
16,Turkey,224252,+937,5580,+17,207374,+1009,11298,1248,2657,66,4489360,53195
17,Bangladesh,218658,+2548,2836,+35,120976,+1768,94846,1,1327,17,1091034,6621
18,Germany,205960,+818,9201,+14,189400,+400,7359,237,2458,110,7418812,88529
19,France,180528,+1130,30192,+10,80815,+343,69521,410,2765,462,2982302,45683
20,Argentina,148027,N/A,2722,+20,65447,+2632,79858,902,3273,60,609262,13473
21,Canada,113040,+368,8878,+4,98766,+247,5396,2219,2993,235,3697322,97910
22,Qatar,108638,+394,164,N/A,105420,+402,3054,101,38691,58,464674,165494
23,Iraq,104711,+2485,4212,+90,71268,+1863,29231,456,2600,105,879399,21837
24,Indonesia,95418,+1761,4665,+89,53945,+1781,36808,N/A,349,17,1310924,4790
25,Egypt,91072,+659,4518,+38,31970,+904,54584,41,889,44,135000,1318
26,Ecuador,79049,+901,5468,+29,34544,+1089,39037,346,4477,310,221152,12524
27,Sweden,78763,N/A,5676,N/A,N/A,N/A,N/A,50,7796,562,751213,74354
28,Kazakhstan,78486,+1687,585,N/A,49488,+1268,28413,221,4177,31,1867907,99409
29,Philippines,76444,+2103,1879,+15,24502,+144,50063,351,697,17,1272317,11602
30,Oman,73791,+1145,359,+4,53007,+1658,20425,170,14431,70,290726,56855
31,Belarus,66846,+158,524,+5,59755,+316,6567,89,7074,55,1230684,130243
32,Bolivia,65252,+1117,2407,+79,20030,+309,42815,71,5586,206,142168,12169
33,Belgium,64847,+220,9812,+4,17369,+22,37666,40,5594,846,1514046,130602
34,Ukraine,62823,+972,1571,+20,34886,+886,26366,91,1437,36,937006,21434
35,Kuwait,62625,+753,425,+4,52915,+668,9285,129,14652,99,479411,112163
36,Israel,59475,+1493,448,+6,26797,+2753,32230,308,6466,49,1597269,173662
37,Dominican Republic,59077,+1462,1036,+30,27625,+720,30416,246,5443,95,222586,20506
38,UAE,58249,+261,343,+1,51235,+387,6671,N/A,5885,35,4724277,477320
39,Panama,56817,N/A,1209,N/A,31828,N/A,23780,158,13156,280,197605,45756
40,Netherlands,52595,+191,6139,N/A,N/A,N/A,N/A,16,3069,358,851885,49709
