#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3521902,+42419,138887,+640,1569178,+19709,1813837,15946,10638,420,43668914,131902
2,Brazil,1895555,+7596,73161,+240,1213512,N/A,608882,8318,8916,344,4572796,21508
3,India,937487,+29842,24315,+588,593080,+20968,320092,8944,679,18,12092503,8760
4,Russia,739947,+6248,11614,+175,512825,+8804,215508,2300,5070,80,23495752,160999
5,Peru,330123,N/A,12054,N/A,221008,N/A,97061,1314,10008,365,1943679,58924
6,Chile,319493,+1836,7069,+45,289220,+2664,23204,1915,16708,370,1322503,69162
7,Mexico,304435,+4685,35491,+485,189063,+4299,79881,378,2360,275,739922,5737
8,Spain,303699,+666,28409,+3,N/A,N/A,N/A,617,6495,608,6026446,128893
9,South Africa,298292,+10496,4346,+174,146279,+8038,147667,539,5027,73,2232738,37631
10,UK,291373,+398,44968,+138,N/A,N/A,N/A,162,4291,662,12270317,180715
11,Iran,262173,+2521,13211,+179,225270,+2731,23692,3389,3120,157,2023079,24076
12,Pakistan,253604,+1979,5320,+54,170656,+8739,77628,2151,1147,24,1606190,7267
13,Italy,243344,+114,34984,+17,195441,+335,12919,60,4025,579,6004611,99318
14,Saudi Arabia,237803,+2692,2283,+40,177560,+7718,57960,2235,6827,66,2336874,67093
15,Turkey,214993,+992,5402,+20,196720,+1049,12871,1204,2548,64,4065178,48183
16,Germany,200704,+268,9141,+2,185500,+400,6063,264,2395,109,6376054,76092
17,Bangladesh,190057,+3163,2424,+33,103227,+4910,84406,1,1154,15,966400,5866
18,France,172377,N/A,30029,,78597,N/A,63751,492,2641,460,2489269,38133
19,Colombia,154277,N/A,5455,N/A,65809,N/A,83013,875,3031,107,1056814,20762
20,Canada,108377,+222,8796,+6,72079,+238,27502,2159,2871,233,3257608,86287
21,Qatar,104533,+517,150,+1,101160,+533,3223,137,37229,53,420649,149814
22,Argentina,103265,,1926,+23,45467,+1294,55872,752,2284,43,483799,10701
23,Egypt,83001,N/A,3935,N/A,24975,N/A,54091,41,811,38,135000,1318
24,Iraq,81757,+2022,3345,+95,50782,+3784,27630,412,2031,83,698012,17343
25,Indonesia,78572,+1591,3710,+54,37636,+947,37226,N/A,287,14,1097468,4011
26,Sweden,76001,+34,5545,+11,N/A,N/A,N/A,81,7524,549,681820,67497
27,Ecuador,68459,N/A,5063,N/A,30369,N/A,33027,308,3878,287,183392,10390
28,Belarus,65269,+155,474,+6,55799,+307,8996,89,6907,50,1144696,121142
29,Belgium,62781,+74,9787,+5,17223,+27,35771,23,5416,844,1390593,119967
