#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3123359,+26275,134364,+392,1372878,+18015,1616117,15382,9435,406,39080989,118055
2,Brazil,1683738,+9083,67113,+245,1117922,+45693,498703,8318,7920,316,4359978,20509
3,India,769041,+25560,21144,+491,476550,+19492,271347,8944,557,15,10473771,7588
4,Russia,700792,+6562,10667,+173,472511,+8631,217614,2300,4802,73,21790705,149317
5,Peru,309278,N/A,10952,N/A,200938,N/A,97388,1265,9378,332,1821328,55227
6,Chile,303083,+2064,6573,+139,271703,+3458,24807,2053,15852,344,1220790,63852
7,Spain,299593,+383,28396,+4,N/A,N/A,N/A,617,6408,607,5734599,122652
8,UK,286979,+630,44517,+126,N/A,N/A,N/A,209,4227,656,11041203,162627
9,Mexico,268008,+6258,32014,+895,163646,+3989,72348,378,2078,248,668537,5184
10,Iran,248379,+2691,12084,+153,209463,+2463,26832,3309,2957,144,1872391,22288
11,Italy,242149,+193,34914,+15,193640,+825,13595,71,4005,577,5754116,95173
12,Pakistan,237489,+2980,4922,+83,140965,+6008,91602,2236,1075,22,1467104,6640
13,Saudi Arabia,220144,+3036,2059,+42,158050,+3211,60035,2263,6322,59,2071823,59498
14,South Africa,215855,N/A,3502,N/A,102299,N/A,110054,539,3639,59,1907532,32156
15,Turkey,208938,+1041,5282,+22,187511,+2219,16145,1172,2477,63,3782520,44841
16,Germany,198703,+348,9109,+6,182700,N/A,6894,292,2371,109,5873563,70099
17,Bangladesh,172134,+3489,2197,+46,80838,+2736,89099,1,1045,13,892152,5416
18,France,169473,+663,29965,+32,77655,N/A,61853,529,2596,459,1384633,21212
19,Colombia,124494,N/A,4359,N/A,51861,N/A,68274,875,2446,86,902305,17730
20,Canada,106366,+199,8733,+22,70161,+278,27472,2150,2818,231,3020172,80009
21,Qatar,101553,+608,138,+4,96107,+1204,5308,154,36168,49,396199,141106
22,Argentina,83426,N/A,1654,+10,36502,+6407,45270,688,1846,37,423782,9375
23,Egypt,77279,N/A,3489,N/A,21718,N/A,52072,41,755,34,135000,1319
24,Sweden,73858,+302,5482,+12,N/A,N/A,N/A,92,7312,543,600019,59405
25,Indonesia,68079,+1853,3359,+50,31585,+800,33135,N/A,249,12,968237,3539
26,Iraq,67442,+2741,2779,+94,37879,+1627,26784,403,1676,69,637227,15839
27,Belarus,64224,+221,443,+7,52854,+952,10927,89,6797,47,1087245,115061
28,Ecuador,63245,N/A,4873,N/A,29071,N/A,29301,288,3584,276,168272,9536
29,Belgium,62123,+65,9776,+2,17138,+16,35209,32,5360,843,1322052,114062
30,UAE,53045,+445,327,+1,42282,+568,10436,1,5362,33,3720000,376051
31,Kuwait,52007,+762,379,+2,42108,+593,9520,161,12175,89,417874,97829
32,Kazakhstan,51059,+1376,264,N/A,34149,+6492,16646,221,2719,14,1630669,86829
33,Netherlands,50746,+52,6135,+3,N/A,N/A,N/A,24,2961,358,681931,39796
