#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
154,Tanzania,509,N/A,21,N/A,183,N/A,305,7,9,0.4,N/A,N/A
155,Angola,458,N/A,23,N/A,117,N/A,318,6,14,0.7,10000,304
156,Taiwan,451,N/A,7,N/A,438,N/A,6,N/A,19,0.3,78212,3284
157,Syria,394,N/A,16,N/A,126,N/A,252,N/A,23,0.9,N/A,N/A
158,Vietnam,370,+1,N/A,N/A,350,N/A,20,1,4,N/A,275000,2825
159,Mauritius,342,N/A,10,N/A,330,N/A,2,N/A,269,8,193561,152191
160,Isle of Man,336,N/A,24,N/A,312,N/A,0,N/A,3951,282,7031,82674
161,Myanmar,326,N/A,6,N/A,256,N/A,64,N/A,6,0.1,89913,1652
162,Comoros,314,N/A,7,N/A,272,N/A,35,N/A,361,8,N/A,N/A
163,Botswana,314,N/A,1,N/A,31,N/A,282,1,133,0.4,47860,20344
164,Guyana,290,N/A,16,N/A,134,N/A,140,6,369,20,3112,3956
165,Martinique,255,N/A,15,N/A,98,N/A,142,5,680,40,N/A,N/A
166,Eritrea,232,N/A,N/A,N/A,107,N/A,125,N/A,65,N/A,N/A,N/A
167,Mongolia,227,N/A,N/A,N/A,200,+3,27,3,69,N/A,27217,8299
168,Cayman Islands,201,N/A,1,N/A,197,N/A,3,N/A,3057,15,26177,398184
169,Burundi,191,N/A,1,N/A,118,N/A,72,N/A,16,0.08,749,63
170,Guadeloupe,190,N/A,14,N/A,157,N/A,19,4,475,35,11538,28836
171,Faeroe Islands,188,N/A,N/A,N/A,188,N/A,0,N/A,3847,N/A,21918,448514
172,Lesotho,184,N/A,1,N/A,26,N/A,157,N/A,86,0.5,5206,2430
173,Gibraltar,180,N/A,N/A,N/A,176,N/A,4,N/A,5343,N/A,15748,467425
174,Bermuda,150,N/A,9,N/A,137,N/A,4,1,2409,145,13440,215831
175,Brunei,141,N/A,3,N/A,138,N/A,0,N/A,322,7,29841,68195
176,Cambodia,141,N/A,N/A,N/A,133,+2,8,1,8,N/A,44293,2648
177,Trinidad and Tobago,133,N/A,8,N/A,120,N/A,5,N/A,95,6,5776,4127
178,Bahamas,108,+1,11,N/A,89,N/A,8,1,275,28,2519,6404
179,Monaco,108,N/A,4,N/A,96,N/A,8,N/A,2752,102,16200,412749
180,Aruba,105,N/A,3,N/A,98,N/A,4,N/A,983,28,3007,28161
181,Seychelles,100,N/A,N/A,N/A,11,N/A,89,N/A,1017,N/A,N/A,N/A
182,Barbados,98,N/A,7,N/A,90,N/A,1,N/A,341,24,8655,30116
183,Liechtenstein,84,N/A,1,N/A,81,N/A,2,N/A,2203,26,900,23603
184,Bhutan,82,+2,N/A,N/A,57,+2,25,N/A,106,N/A,27127,35147
185,Sint Maarten,78,N/A,15,N/A,63,N/A,0,N/A,1819,350,523,12195
186,Antigua and Barbuda,74,N/A,3,N/A,57,N/A,14,1,755,31,860,8780
187,Turks and Caicos,66,N/A,2,N/A,11,N/A,53,N/A,1704,52,870,22464
188,Gambia,64,N/A,3,N/A,34,N/A,27,N/A,26,1,3573,1478
189,French Polynesia,62,N/A,N/A,N/A,60,N/A,2,N/A,221,N/A,4649,16547
190,Macao,46,N/A,N/A,N/A,45,N/A,1,N/A,71,N/A,4071,6268
191,Saint Martin,43,N/A,3,N/A,37,N/A,3,1,1112,78,851,22001
192,Belize,37,+4,2,N/A,20,N/A,15,N/A,93,5,2577,6478
193,St. Vincent Grenadines,29,N/A,N/A,N/A,29,N/A,0,N/A,261,N/A,1023,9220
194,Fiji,26,N/A,N/A,N/A,18,N/A,8,N/A,29,N/A,4000,4461
195,Curaçao,25,N/A,1,N/A,24,N/A,0,N/A,152,6,1080,6581
196,Timor-Leste,24,N/A,N/A,N/A,24,N/A,0,N/A,18,N/A,1568,1189
197,Grenada,23,N/A,N/A,N/A,23,N/A,0,N/A,204,N/A,5465,48562
198,Saint Lucia,22,N/A,N/A,N/A,19,N/A,3,N/A,120,N/A,2002,10901
199,New Caledonia,21,N/A,N/A,N/A,21,N/A,0,N/A,74,N/A,9045,31674
200,Laos,19,N/A,N/A,N/A,19,N/A,0,N/A,3,N/A,19836,2725
201,Dominica,18,N/A,N/A,N/A,18,N/A,0,N/A,250,N/A,623,8654
202,Saint Kitts and Nevis,17,N/A,N/A,N/A,15,N/A,2,N/A,319,N/A,651,12235
203,Falkland Islands,13,N/A,N/A,N/A,13,N/A,0,N/A,3733,,1393,400057
204,Greenland,13,N/A,N/A,N/A,13,N/A,0,N/A,229,N/A,4577,80619
205,Vatican City,12,N/A,N/A,N/A,12,N/A,0,N/A,14981,N/A,N/A,N/A
206,Montserrat,11,N/A,1,N/A,10,N/A,0,N/A,2204,200,61,12220
207,Papua New Guinea,11,N/A,N/A,N/A,8,N/A,3,N/A,1,N/A,7147,799
208,Western Sahara,10,N/A,1,N/A,8,N/A,1,N/A,17,2,N/A,N/A
210,British Virgin Islands,8,N/A,1,N/A,7,N/A,0,N/A,265,33,439,14519
211,Caribbean Netherlands,7,N/A,N/A,N/A,7,N/A,0,N/A,267,N/A,424,16165
212,St. Barth,6,N/A,N/A,N/A,6,N/A,0,N/A,607,N/A,507,51326
213,Anguilla,3,N/A,N/A,N/A,3,N/A,0,N/A,200,N/A,305,20325
214,Saint Pierre Miquelon,2,N/A,N/A,N/A,1,N/A,1,N/A,345,N/A,N/A,N/A
