#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3022009,+39081,132792,+223,1307683,+18119,1581534,15965,9129,401,38083371,115046
3,India,720346,+22510,20174,+474,440150,+15259,260022,8944,522,15,9969662,7224
4,Russia,687862,+6611,10296,+135,454329,+3579,223237,2300,4713,71,21335394,146197
5,Peru,305703,+2985,10772,+183,197619,+3662,97312,1236,9270,327,1800690,54606
6,Spain,298869,+414,28388,+3,N/A,N/A,N/A,617,6392,607,5448984,116543
7,Chile,298557,+3025,6384,+76,264371,+3339,27802,2069,15616,334,1198261,62677
8,UK,285768,+352,44236,+16,N/A,N/A,N/A,231,4209,652,10651308,156889
9,Mexico,256848,+4683,30639,+273,155604,+3295,70605,378,1992,238,641142,4972
10,Iran,243051,+2613,11731,+160,204083,+2753,27237,3201,2893,140,1820000,21666
11,Italy,241819,+208,34869,+8,192241,+133,14709,72,4000,577,5660454,93623
12,Pakistan,231818,+3344,4762,+50,131649,+1819,95407,2406,1049,22,1420623,6430
13,Saudi Arabia,213716,+4207,1968,+52,149634,+4398,62114,2254,6138,57,1934391,55556
14,Turkey,206844,+1086,5241,+16,182995,+2315,18608,1130,2452,62,3682673,43660
15,Germany,198057,+499,9092,+6,182200,+500,6765,305,2364,109,5873563,70100
16,South Africa,196750,N/A,3199,N/A,93315,N/A,100236,539,3317,54,1830161,30854
17,France,168335,+176,29920,+13,77308,+129,61107,548,2579,458,1384633,21212
18,Bangladesh,165618,+3201,2096,+44,76149,+3524,87373,1,1006,13,863307,5241
19,Colombia,117110,N/A,4064,N/A,47881,N/A,65165,841,2301,80,860731,16914
20,Canada,105764,+228,8687,+3,69431,+192,27646,2128,2802,230,2940925,77913
21,Qatar,100345,+546,133,+5,93898,+1614,6314,164,35738,47,386111,137513
22,Argentina,77815,N/A,1523,+16,28531,+934,47761,620,1722,34,406210,8987
23,Egypt,76222,+969,3422,+79,21238,+512,51562,41,745,33,135000,1319
24,Sweden,71419,N/A,5420,N/A,N/A,N/A,N/A,124,7071,537,519113,51397
25,Indonesia,64958,+1209,3241,+70,29919,+814,31798,N/A,237,12,928238,3393
26,Belarus,63804,+250,429,+6,51120,+249,12255,89,6752,45,1074240,113685
27,Ecuador,62380,+422,4821,+40,28872,+150,28687,288,3535,273,163842,9285
28,Iraq,62275,+1796,2567,+94,34741,+1724,24967,337,1548,64,612607,15229
29,Belgium,62016,+107,9771,N/A,17091,N/A,35154,32,5351,843,1284605,110834
30,UAE,52068,+528,324,+1,40721,+424,11023,1,5264,33,3500000,353834
31,Netherlands,50657,+36,6128,+1,N/A,N/A,N/A,18,2956,358,616376,35971
32,Kuwait,50644,+703,373,+5,41001,+538,9270,152,11857,87,409335,95838
33,Ukraine,49043,+543,1262,+13,21703,+327,26078,103,1122,29,722513,16523
34,Kazakhstan,48574,+1403,188,N/A,27334,+304,21052,221,2587,10,1620252,86280
35,Oman,47735,+1557,218,+5,29146,+1229,18371,129,9347,43,213187,41744
36,Philippines,46333,+2079,1303,+6,12185,+243,32845,166,423,12,845218,7712
37,Singapore,44983,+183,26,N/A,40717,+276,4240,2,7688,4,757746,129509
38,Portugal,44129,+232,1620,+6,29166,+149,13343,73,4328,159,1205593,118240
39,Bolivia,39297,+1226,1434,+56,11667,+395,26196,71,3366,123,86878,7442
40,Panama,38149,N/A,747,N/A,17986,N/A,19416,146,8840,173,144918,33582
41,Dominican Republic,38128,+703,804,+10,19489,+546,17835,208,3514,74,169999,15669
42,Poland,36155,+205,1521,+4,23966,+220,10668,76,955,40,1655664,43747
43,Afghanistan,33190,+239,898,+34,20103,+737,12189,31,852,23,76415,1963
44,Switzerland,32315,+47,1965,N/A,29300,N/A,1050,17,3733,227,636397,73526
45,Israel,30749,+791,334,+3,18056,+106,12359,88,3343,36,1107070,120365
46,Bahrain,29821,+454,98,+1,25178,+529,4545,54,17527,58,612096,359746
47,Romania,29223,+250,1768,+18,20213,+187,7242,227,1519,92,771482,40108
48,Armenia,28936,+330,491,+7,16302,+162,12143,10,9765,166,123815,41782
49,Nigeria,28711,N/A,645,N/A,11665,N/A,16401,7,139,3,151121,733
50,Ireland,25531,+4,1741,N/A,23364,N/A,426,12,5170,353,467852,94738
51,Honduras,23943,+1022,639,+10,2490,+103,20814,58,2417,65,49308,4978
52,Guatemala,23248,N/A,947,N/A,3382,N/A,18919,5,1297,53,64590,3605
53,Azerbaijan,20837,+513,258,+8,12182,+440,8397,66,2055,25,522773,51554
54,Ghana,20085,N/A,122,N/A,14870,N/A,5093,8,646,4,310159,9980
55,Japan,19522,N/A,977,N/A,17050,N/A,1495,33,154,8,495164,3915
56,Austria,18365,+85,706,N/A,16647,+32,1012,11,2039,78,654105,72621
57,Moldova,17906,+92,592,+7,11047,+329,6267,438,4439,147,101180,25083
