#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3218873,+59941,135720,+858,1426170,+33491,1656983,15647,9723,410,40145692,121270
2,Brazil,1759103,+42907,69254,+1199,1152467,+34545,537382,8318,8275,326,4468829,21021
3,India,794855,+25803,21623,+479,495960,+19406,277272,8944,576,16,10740832,7782
4,Russia,707301,+6509,10843,+176,481316,+8805,215142,2300,4847,74,22079294,151294
5,Peru,316448,+3537,11314,+181,207802,+3054,97332,1292,9595,343,1863278,56497
6,Chile,306216,+3133,6682,+109,274922,+3219,24612,1999,16016,349,1237632,64731
7,Spain,300136,+543,28401,+5,N/A,N/A,N/A,617,6419,607,5734599,122652
8,UK,287621,+642,44602,+85,N/A,N/A,N/A,185,4236,657,11286921,166244
9,Mexico,275003,+6995,32796,+782,167795,+4149,74412,378,2132,254,684804,5310
10,Iran,250458,+2079,12305,+221,212176,+2713,25977,3324,2981,146,1897803,22590
11,Italy,242363,+214,34926,+12,193978,+338,13459,69,4009,578,5806668,96042
12,Pakistan,240848,+3359,4983,+61,145311,+4346,90554,2193,1090,23,1491437,6750
13,South Africa,238339,+13674,3720,+118,113061,+6219,121558,539,4018,63,2000569,33724
14,Saudi Arabia,223327,+3183,2100,+41,161096,+3046,60131,2225,6413,60,2124976,61022
15,Turkey,209962,+1024,5300,+18,190390,+2879,14272,1179,2489,63,3832623,45434
16,Germany,199198,+433,9125,+10,183600,+900,6473,292,2377,109,6376054,76096
17,Bangladesh,175494,+3360,2238,+41,84544,+3706,88712,1,1065,14,907784,5511
18,France,170094,+621,29979,+14,78170,+185,61945,512,2606,459,1384633,21212
19,Colombia,133973,+5335,4714,+187,56272,+2638,72987,875,2632,93,945240,18573
20,Canada,106742,+308,8746,+9,70503,+256,27493,2151,2828,232,3055341,80939
21,Qatar,102110,+557,142,+4,97272,+1165,4696,145,36366,51,400767,142733
22,Argentina,90693,+3663,1720,+26,38313,+1811,50660,688,2006,38,434692,9616
23,Egypt,79254,+950,3617,+53,22753,+512,52884,41,774,35,135000,1319
24,Sweden,74333,+48,5500,+13,N/A,N/A,N/A,90,7359,545,600019,59404
25,Indonesia,70736,+2657,3417,+58,32651,+1066,34668,N/A,259,12,992069,3626
26,Iraq,69612,+2170,2882,+103,39502,+1623,27228,415,1730,72,649036,16131
27,Belarus,64411,+187,449,+6,53609,+755,10353,89,6817,48,1087245,115062
28,Ecuador,64221,+976,4900,+27,29184,+113,30137,310,3639,278,171653,9727
29,Belgium,62210,+87,9778,+2,17159,+21,35273,32,5367,844,1335704,115239
