#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3667688,+50861,140771,+627,1663668,+17706,1863249,16457,11078,425,45406433,137146
2,Brazil,1978236,+7327,75697,+174,1366775,+111211,535764,8318,9304,356,4911063,23098
3,India,1005637,+35468,25609,+680,636602,+22867,343426,8944,728,19,12739490,9228
4,Russia,752797,+6428,11937,+167,531692,+8443,209168,2300,5158,82,24053516,164821
5,Peru,337724,N/A,12417,N/A,226400,N/A,98907,1325,10238,376,1983932,60140
6,South Africa,324221,+13172,4669,+216,165591,+4898,153961,539,5464,79,2324923,39182
7,Chile,323698,+2493,7290,+104,295301,+3216,21107,1821,16927,381,1351904,70696
8,Mexico,317635,+6149,36906,+579,199129,+5153,81600,378,2463,286,768457,5958
9,Spain,305935,+1361,28416,+3,N/A,N/A,N/A,617,6543,608,6026446,128893
10,UK,292552,+641,45119,+66,N/A,N/A,N/A,145,4309,664,12461869,183531
11,Iran,267061,+2500,13608,+198,230608,+3047,22845,3471,3178,162,2073791,24678
12,Pakistan,257914,+2145,5426,+40,178737,+5927,73751,1942,1167,25,1652183,7475
13,Italy,243736,+230,35017,+20,196246,+230,12473,53,4032,579,6103492,100954
14,Saudi Arabia,243238,+2764,2370,+45,187622,+4574,53246,2206,6983,68,2494873,71623
15,Turkey,216873,+933,5440,+21,198820,+1087,12613,1213,2570,64,4149909,49185
16,Germany,201827,+575,9157,+9,186400,+400,6270,248,2409,109,6884614,82160
17,Bangladesh,196323,+2733,2496,+39,106963,+1440,86864,1,1192,15,993291,6029
18,France,173838,+534,30138,+18,79036,+216,64664,481,2663,462,2532227,38790
19,Colombia,165169,N/A,5814,N/A,71736,N/A,87619,1027,3245,114,1108148,21770
20,Argentina,111146,N/A,2050,N/A,47298,N/A,61798,752,2458,45,495065,10950
21,Canada,109080,+251,8825,+15,72782,+297,27473,2173,2889,234,3341893,88515
22,Qatar,105477,+494,152,+1,102168,+531,3157,135,37566,54,430661,153380
23,Iraq,86148,+2281,3522,+90,54316,+1695,28310,382,2140,87,744847,18505
24,Egypt,84843,N/A,4067,N/A,26135,N/A,54641,41,829,40,135000,1318
25,Indonesia,81668,+1574,3873,+76,40345,+1295,37450,N/A,298,14,1146286,4189
26,Sweden,76877,+115,5593,+10,N/A,N/A,N/A,81,7610,554,681820,67495
27,Ecuador,71365,+1036,5207,+49,31260,+619,34898,313,4043,295,194578,11023
28,Belarus,65623,+180,485,+5,56915,+536,8223,89,6945,51,1162280,123003
30,Belgium,63039,+167,9792,+4,17253,+11,35994,27,5438,845,1412925,121891
31,Oman,62574,+1327,290,+9,40090,+1052,22194,149,12244,57,258148,50512
32,Philippines,61266,+2498,1643,+29,21440,+464,38183,647,559,15,1062804,9694
33,Kuwait,57668,+791,402,+3,47545,+648,9721,142,13496,94,449525,105205
34,Ukraine,56455,+848,1445,+18,28931,+800,26079,79,1291,33,840332,19220
35,UAE,56129,+281,335,N/A,47412,+994,8382,1,5673,34,4316763,436262
36,Bolivia,52218,+1351,1942,+44,16357,+538,33919,71,4471,166,114270,9784
37,Netherlands,51351,+99,6137,+1,N/A,N/A,N/A,15,2997,358,764079,44588
38,Panama,49243,N/A,982,N/A,25417,N/A,22844,157,11406,227,174345,40384
39,Dominican Republic,48743,+1072,941,+12,23636,+177,24166,246,4492,87,201669,18583
40,Portugal,47765,+339,1679,+3,32476,+366,13610,72,4685,165,1396902,137013
41,Singapore,47126,+248,27,N/A,43256,+268,3843,N/A,8053,5,1009532,172506
42,Israel,45607,+1419,383,+7,20268,+279,24956,203,4959,42,1379491,149984
43,Poland,39054,+333,1605,+11,28928,+436,8521,68,1032,42,1886089,49837
44,Afghanistan,35070,+76,1113,+19,22824,+368,11133,31,900,29,82352,2114
45,Romania,35003,+777,1971,+19,22189,+140,10843,261,1820,102,906015,47111
46,Bahrain,34560,N/A,121,+4,30320,N/A,4119,44,20292,71,693539,407223
47,Nigeria,34259,N/A,760,N/A,13999,N/A,19500,7,166,4,199016,965
48,Armenia,33559,+554,607,+15,21931,+583,11021,10,11324,205,141410,47718
49,Switzerland,33290,+142,1969,+1,29800,N/A,1521,21,3845,227,708370,81825
50,Guatemala,32074,N/A,1350,N/A,4624,N/A,26100,5,1789,75,64590,3603
51,Honduras,30036,+930,825,+18,3379,+92,25832,58,3031,83,49308,4975
52,Azerbaijan,26165,+493,334,+8,17256,+561,8575,66,2580,33,601500,59303
53,Ghana,26125,+695,139,N/A,22270,+759,3716,8,840,4,339491,10918
54,Ireland,25698,+15,1749,+1,23364,N/A,585,9,5202,354,532062,107707
55,Japan,22508,N/A,984,N/A,18545,N/A,2979,38,178,8,586706,4639
56,Algeria,21355,+585,1052,+12,15107,+315,5196,61,487,24,N/A,N/A
57,Moldova,20264,+224,666,+7,13640,+342,5958,358,5024,165,101180,25085
58,Serbia,19717,+383,442,+13,14047,N/A,5228,177,2257,51,524578,60049
59,Austria,19270,+116,711,+1,17244,+69,1315,11,2139,79,726345,80629
60,Nepal,17344,+167,39,N/A,11249,+224,6056,N/A,595,1,616212,21136
61,Morocco,16545,+283,263,+4,13965,+144,2317,31,448,7,953715,25827
62,Cameroon,15173,N/A,359,N/A,11928,N/A,2886,52,571,14,120837,4548
63,Uzbekistan,14991,+410,73,+2,8655,N/A,6263,43,448,2,1377915,41148
64,S. Korea,13612,+61,291,+2,12396,+48,925,15,265,6,1441348,28112
65,Czechia,13551,+76,355,N/A,8507,N/A,4689,19,1265,33,606878,56666
66,Ivory Coast,13403,N/A,87,N/A,7146,N/A,6170,N/A,508,3,79895,3026
67,Denmark,13124,+32,610,N/A,12195,+13,319,5,2265,105,1290888,222834
68,Kyrgyzstan,12498,+521,167,+7,3735,+75,8596,24,1915,26,259793,39797
69,Kenya,11673,+421,217,+8,3638,+570,7818,44,217,4,229390,4263
70,El Salvador,10957,+312,298,+12,6257,+137,4402,413,1689,46,202126,31156
71,Australia,10810,+323,113,+2,8035,+107,2662,30,424,4,3284182,128735
72,Sudan,10527,N/A,668,N/A,5601,N/A,4258,N/A,240,15,401,9
73,Venezuela,10428,N/A,100,N/A,3050,N/A,7278,24,367,4,1406576,49471
74,Costa Rica,9546,+560,42,+2,2673,+122,6831,35,1873,8,61216,12013
75,Norway,9011,N/A,254,+1,8138,N/A,619,1,1662,47,392676,72410
76,Malaysia,8737,+3,122,N/A,8538,+12,77,3,270,4,868394,26818
77,North Macedonia,8623,+93,401,+8,4565,N/A,3657,55,4139,192,80774,38771
78,Senegal,8481,+112,156,+3,5735,+130,2590,38,506,9,94078,5614
79,DRC,8199,+36,193,+1,4248,+265,3758,N/A,91,2,N/A,N/A
80,Ethiopia,8181,N/A,146,N/A,2430,N/A,5605,35,71,1,250604,2178
81,Bulgaria,7877,N/A,289,N/A,3841,N/A,3747,28,1134,42,189953,27347
82,Bosnia and Herzegovina,7681,+270,240,+5,3534,+199,3907,N/A,2342,73,116067,35388
83,Palestine,7412,+348,49,+5,1313,+229,6050,N/A,1452,10,141444,27706
84,Finland,7293,N/A,328,N/A,6880,N/A,85,1,1316,59,294900,53221
85,Haiti,6902,+71,145,+2,3484,+201,3273,N/A,605,13,14963,1312
86,Tajikistan,6695,N/A,56,N/A,5383,N/A,1256,N/A,701,6,N/A,N/A
87,French Guiana,6393,+94,34,+1,3818,+80,2541,26,21387,114,11609,38837
88,Guinea,6276,N/A,38,N/A,4981,N/A,1257,24,478,3,14407,1096
89,Gabon,6121,N/A,46,N/A,3664,N/A,2411,11,2748,21,52166,23420
