#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3479483,N/A,138247,N/A,1549469,N/A,1791767,15934,10510,418,43252833,130645
2,Brazil,1887959,N/A,72921,N/A,1213512,N/A,601526,8318,8880,343,4572796,21508
3,India,907645,N/A,23727,N/A,572112,N/A,311806,8944,657,17,12092503,8760
4,Russia,733699,N/A,11439,N/A,504021,N/A,218239,2300,5028,78,23200000,158973
5,Peru,330123,N/A,12054,N/A,221008,N/A,97061,1314,10008,365,1943679,58924
6,Chile,317657,N/A,7024,N/A,286556,N/A,24077,1995,16612,367,1310265,68522
7,Mexico,304435,+4685,35491,+485,189063,+4299,79881,378,2360,275,739922,5737
8,Spain,303033,N/A,28406,N/A,N/A,N/A,N/A,617,6481,608,6026446,128893
9,UK,290133,N/A,44830,N/A,N/A,N/A,N/A,185,4273,660,12128749,178630
10,South Africa,287796,N/A,4172,N/A,138241,N/A,145383,539,4851,70,2194624,36989
11,Iran,259652,N/A,13032,N/A,222539,N/A,24081,3375,3090,155,1997967,23778
12,Pakistan,253604,+1979,5320,+54,170656,+8739,77628,2151,1147,24,1606190,7267
13,Italy,243230,N/A,34967,N/A,195106,N/A,13157,65,4023,578,5962744,98626
14,Saudi Arabia,235111,N/A,2243,N/A,169842,N/A,63026,2235,6750,64,2336874,67093
15,Turkey,214001,N/A,5382,N/A,195671,N/A,12948,1223,2536,64,4021947,47671
16,Germany,200436,N/A,9139,N/A,185100,N/A,6197,264,2392,109,6376054,76092
17,Bangladesh,186894,N/A,2391,N/A,98317,N/A,86186,1,1134,15,955947,5803
18,France,172377,N/A,30029,N/A,78597,N/A,63751,492,2641,460,2489269,38133
19,Colombia,154277,N/A,5455,N/A,65809,N/A,83013,875,3031,107,1056814,20762
20,Canada,108155,N/A,8790,N/A,71841,N/A,27524,2159,2865,233,3257608,86287
21,Qatar,104016,N/A,149,N/A,100627,N/A,3240,139,37045,53,416327,148275
22,Argentina,103265,N/A,1903,N/A,44173,N/A,57189,752,2284,42,474422,10494
23,Egypt,83001,N/A,3935,N/A,24975,N/A,54091,41,811,38,135000,1318
24,Iraq,79735,N/A,3250,N/A,46998,N/A,29487,412,1981,81,698012,17343
25,Indonesia,76981,N/A,3656,N/A,36689,N/A,36636,N/A,281,13,1074467,3927
26,Sweden,75826,N/A,5536,N/A,N/A,N/A,N/A,86,7506,548,600019,59399
27,Ecuador,68459,N/A,5063,N/A,30369,N/A,33027,308,3878,287,183392,10390
28,Belarus,65114,N/A,468,N/A,55492,N/A,9154,89,6891,50,1141580,120812
29,Belgium,62707,N/A,9782,N/A,17196,N/A,35729,32,5410,844,1361830,117486
30,Kazakhstan,61755,+1856,375,N/A,35911,+1721,25469,221,3288,20,1719295,91530
31,Oman,58179,N/A,259,N/A,37257,N/A,20663,146,11386,51,244787,47904
32,Philippines,57006,N/A,1599,N/A,20371,N/A,35036,333,520,15,999439,9117
33,Kuwait,55508,N/A,393,N/A,45356,N/A,9759,148,12992,92,437422,102380
34,UAE,55198,N/A,334,N/A,45513,N/A,9351,1,5579,34,4000000,404275
35,Ukraine,54133,N/A,1398,N/A,26503,N/A,26232,81,1238,32,803657,18381
36,Netherlands,51093,N/A,6137,N/A,N/A,N/A,N/A,20,2982,358,681931,39795
37,Bolivia,49250,+1063,1866,+59,15294,+451,32090,71,4217,160,108897,9325
38,Panama,47173,N/A,932,N/A,23919,N/A,22322,160,10928,216,168517,39037
39,Portugal,46818,N/A,1662,N/A,31065,N/A,14091,63,4592,163,1360164,133408
40,Singapore,46283,N/A,26,N/A,42541,N/A,3716,1,7909,4,866414,148056
41,Dominican Republic,45506,N/A,903,N/A,22441,N/A,22162,226,4194,83,189391,17453
43,Poland,38190,N/A,1576,N/A,27515,N/A,9099,69,1009,42,1813365,47916
44,Afghanistan,34455,N/A,1012,N/A,21254,N/A,12189,31,885,26,79804,2049
45,Bahrain,33476,N/A,109,N/A,29099,N/A,4268,50,19660,64,675451,396678
46,Nigeria,33153,N/A,744,N/A,13671,N/A,18738,7,161,4,183294,889
47,Romania,32948,N/A,1901,N/A,21692,N/A,9355,235,1713,99,854241,44417
48,Switzerland,32946,N/A,1968,N/A,29600,N/A,1378,18,3806,227,686349,79284
49,Armenia,32151,N/A,573,N/A,19865,N/A,11713,10,10849,193,135687,45787
50,Guatemala,29742,N/A,1244,N/A,4321,N/A,24177,5,1659,69,64590,3603
51,Honduras,28579,+489,789,+15,3123,+166,24667,58,2884,80,49308,4976
53,Ghana,24988,N/A,139,N/A,21067,N/A,3782,8,804,4,331366,10658
54,Azerbaijan,24570,N/A,313,N/A,15640,N/A,8617,66,2423,31,576249,56817
55,Japan,21868,N/A,982,N/A,18103,N/A,2783,34,173,8,562105,4445
56,Algeria,19689,N/A,1018,N/A,14019,N/A,4652,61,449,23,N/A,N/A
57,Moldova,19439,N/A,649,N/A,12793,N/A,5997,373,4819,161,101180,25084
58,Austria,18948,N/A,708,N/A,17000,N/A,1240,8,2103,79,700616,77775
59,Serbia,18639,N/A,405,N/A,13940,N/A,4294,154,2134,46,498343,57045
60,Nepal,16945,N/A,38,N/A,10294,N/A,6613,N/A,581,1,601773,20643
61,Morocco,15936,N/A,255,N/A,12934,N/A,2747,31,432,7,896638,24283
62,Cameroon,15173,N/A,359,N/A,11928,N/A,2886,52,571,14,120837,4549
63,Uzbekistan,13591,N/A,64,N/A,8030,N/A,5497,43,406,2,1377915,41151
64,S. Korea,13512,+33,289,N/A,12282,+78,941,15,264,6,1420616,27708
65,Czechia,13238,N/A,353,N/A,8373,N/A,4512,15,1236,33,598642,55897
66,Denmark,13037,N/A,610,N/A,12130,N/A,297,3,2250,105,1244789,214880
67,Ivory Coast,12872,N/A,84,N/A,6810,N/A,5978,N/A,488,3,77384,2932
68,Kyrgyzstan,11444,+327,149,+2,3538,+78,7757,24,1753,23,255242,39103
69,Sudan,10316,N/A,657,N/A,5403,N/A,4256,N/A,235,15,401,9
70,Kenya,10294,N/A,197,N/A,2946,N/A,7151,44,191,4,216242,4019
71,Australia,10250,+270,108,N/A,7835,+67,2307,28,402,4,3156624,123743
72,El Salvador,9978,N/A,267,N/A,5732,N/A,3979,334,1538,41,194655,30005
73,Venezuela,9707,N/A,93,N/A,2671,N/A,6943,25,341,3,1386563,48766
74,Norway,8984,N/A,253,N/A,8138,N/A,593,1,1657,47,380082,70091
75,Malaysia,8725,N/A,122,N/A,8520,N/A,83,4,269,4,850423,26265
76,Senegal,8198,N/A,150,N/A,5514,N/A,2534,34,489,9,91337,5451
77,North Macedonia,8197,N/A,385,N/A,4326,N/A,3486,55,3934,185,78133,37503
78,DRC,8075,N/A,190,N/A,3620,,4265,N/A,90,2,N/A,N/A
79,Costa Rica,8036,N/A,34,+3,2304,N/A,5698,30,1577,7,59749,11725
80,Ethiopia,7766,N/A,128,N/A,2430,N/A,5208,35,68,1,250604,2178
81,Bulgaria,7411,N/A,276,N/A,3517,N/A,3618,29,1067,40,179675,25866
82,Finland,7295,N/A,329,N/A,6800,N/A,166,1,1317,59,278800,50315
83,Bosnia and Herzegovina,6981,N/A,226,N/A,3179,N/A,3576,4,2128,69,111536,34005
84,Haiti,6727,N/A,141,+2,3022,+98,3564,N/A,590,12,14544,1275
85,Tajikistan,6596,N/A,55,N/A,5278,N/A,1263,N/A,691,6,N/A,N/A
86,Palestine,6566,N/A,39,N/A,1084,N/A,5443,N/A,1286,8,122555,24009
87,French Guiana,6170,N/A,29,N/A,3210,N/A,2931,30,20644,97,9895,33107
88,Guinea,6141,N/A,37,N/A,4862,N/A,1242,24,467,3,14407,1096
89,Gabon,6026,N/A,46,N/A,3475,N/A,2505,11,2706,21,49853,22385
90,Mauritania,5446,N/A,147,N/A,2501,N/A,2798,5,1171,32,13842,2975
91,Madagascar,5080,N/A,37,N/A,2494,N/A,2549,59,183,1,29539,1066
92,Djibouti,4977,N/A,56,N/A,4729,,192,N/A,5035,57,51543,52146
93,Luxembourg,4956,N/A,111,N/A,4183,N/A,662,3,7913,177,281431,449366
94,CAR,4321,N/A,53,N/A,1208,,3060,2,894,11,27385,5667
95,Hungary,4247,N/A,595,N/A,3073,N/A,579,5,440,62,295561,30598
96,Greece,3826,N/A,193,N/A,1374,N/A,2259,12,367,19,382452,36700
97,Croatia,3775,N/A,119,N/A,2514,N/A,1142,4,920,29,94175,22946
98,Albania,3571,N/A,95,N/A,2014,N/A,1462,10,1241,33,28883,10037
99,Thailand,3220,N/A,58,N/A,3090,N/A,72,1,46,0.8,603657,8648
100,Somalia,3072,N/A,93,N/A,1343,N/A,1636,2,193,6,N/A,N/A
101,Equatorial Guinea,3071,N/A,51,N/A,842,N/A,2178,N/A,2187,36,16000,11396
102,Paraguay,2980,N/A,25,N/A,1293,N/A,1662,10,418,4,92442,12956
103,Nicaragua,2846,N/A,91,N/A,1993,N/A,762,N/A,429,14,N/A,N/A
104,Maldives,2762,N/A,13,N/A,2290,N/A,459,12,5107,24,62767,116058
105,Mayotte,2724,N/A,37,N/A,2480,N/A,207,3,9979,136,8800,32236
106,Sri Lanka,2646,N/A,11,,1981,N/A,654,1,124,0.5,122071,5700
107,Malawi,2430,N/A,39,N/A,747,N/A,1644,4,127,2,20974,1096
108,Cuba,2428,N/A,87,,2268,N/A,73,2,214,8,202014,17836
109,Lebanon,2419,N/A,36,N/A,1423,N/A,960,9,354,5,178945,26222
110,Mali,2412,N/A,121,N/A,1730,N/A,561,N/A,119,6,16317,805
111,South Sudan,2148,N/A,41,N/A,333,N/A,1774,N/A,192,4,10824,967
112,Congo,2028,N/A,47,N/A,589,N/A,1392,N/A,367,9,N/A,N/A
113,Estonia,2014,N/A,69,N/A,1895,N/A,50,1,1518,52,112174,84559
114,Slovakia,1902,N/A,28,N/A,1493,N/A,381,3,348,5,230068,42139
115,Iceland,1900,N/A,10,N/A,1871,N/A,19,N/A,5567,29,94731,277543
116,Zambia,1895,N/A,42,N/A,1412,N/A,441,1,103,2,56825,3089
117,Lithuania,1874,N/A,79,N/A,1571,N/A,224,15,689,29,461666,169693
118,Slovenia,1849,N/A,111,N/A,1473,N/A,265,1,889,53,116023,55808
119,Guinea-Bissau,1842,N/A,26,N/A,773,N/A,1043,5,935,13,1500,762
120,Cabo Verde,1698,N/A,19,N/A,748,N/A,931,N/A,3053,34,40120,72134
121,Sierra Leone,1642,N/A,63,N/A,1175,N/A,404,N/A,206,8,N/A,N/A
122,New Zealand,1545,+1,22,N/A,1498,+1,25,N/A,309,4,431263,86216
123,Hong Kong,1522,N/A,8,N/A,1217,N/A,297,5,203,1,376645,50226
124,Libya,1512,N/A,40,N/A,367,,1105,N/A,220,6,35695,5193
125,Yemen,1498,N/A,424,N/A,675,N/A,399,N/A,50,14,120,4
126,Eswatini,1389,N/A,20,N/A,688,,681,5,1197,17,17559,15130
127,Benin,1378,N/A,26,N/A,557,N/A,795,1,114,2,67622,5574
128,Rwanda,1378,N/A,4,N/A,710,N/A,664,N/A,106,0.3,186674,14403
129,Tunisia,1302,N/A,50,N/A,1082,N/A,170,N/A,110,4,79144,6694
130,Montenegro,1287,N/A,24,N/A,330,N/A,933,N/A,2049,38,16183,25766
