#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,4072516,+43947,145689,+736,1909742,+23159,2017085,16729,12299,440,50453842,152376
2,Brazil,2178159,+11627,81828,+231,1465970,N/A,630361,8318,10243,385,4911063,23095
3,India,1239684,+45599,29890,+1120,784266,+31873,425528,8944,898,22,14724546,10664
4,Russia,789190,+5862,12745,+165,572053,+9669,204392,2300,5408,87,25704372,176132
5,South Africa,381798,N/A,5368,N/A,208144,N/A,168286,539,6433,90,2536921,42746
6,Peru,362087,N/A,13579,N/A,248746,,99762,1342,10974,412,2109202,63923
7,Mexico,356255,+6859,40400,+915,227165,+5097,88690,3812,2762,313,845272,6552
8,Chile,336402,+1719,8722,+45,309241,+2425,18439,1688,17589,456,1445773,75595
9,Spain,314631,+1357,28426,+2,N/A,N/A,N/A,617,6729,608,6320836,135188
10,UK,296377,+560,45501,+79,N/A,N/A,N/A,142,4364,670,13763289,202680
11,Iran,281413,+2586,14853,+219,244840,+2489,21720,3609,3348,177,2228277,26511
12,Pakistan,267428,+1332,5677,+38,210468,+2438,51283,1436,1209,26,1776882,8036
13,Saudi Arabia,258156,+2331,2601,+44,210398,+3139,45157,2143,7409,75,2837054,81426
14,Italy,245032,+280,35082,+9,197628,+197,12322,48,4053,580,6354730,105113
15,Turkey,222402,+902,5545,+19,205214,+1203,11643,1244,2635,66,4403031,52176
16,Bangladesh,213254,+2744,2751,+42,117202,+1805,93301,1,1294,17,1066609,6473
17,Colombia,211038,N/A,7166,N/A,98840,N/A,105032,1456,4145,141,1263700,24821
18,Germany,204467,+577,9182,+2,188600,+500,6685,264,2440,110,7418812,88530
19,France,178336,+998,30172,+7,79957,+223,68207,445,2732,462,2900040,44423
20,Argentina,136118,N/A,2506,+16,60531,+1933,73081,752,3010,55,578202,12787
21,Canada,112005,+308,8868,+6,98042,+285,5095,2193,2966,235,3616728,95781
22,Qatar,107871,+441,163,+3,104641,+450,3067,113,38418,58,455798,162332
23,Iraq,99865,+2706,4042,+92,67147,+2197,28676,441,2480,100,844218,20966
24,Indonesia,91751,+1882,4459,+139,50255,+1789,37037,N/A,335,16,1283109,4688
25,Egypt,89078,N/A,4399,N/A,29473,N/A,55206,41,870,43,135000,1318
26,Sweden,78504,+132,5667,+10,N/A,N/A,N/A,58,7770,561,751213,74357
27,Ecuador,77257,+1040,5418,+52,33125,+400,38714,313,4375,307,213002,12063
28,Kazakhstan,75153,+1685,585,N/A,46790,+1414,27778,221,4000,31,1823332,97043
30,Oman,71547,+1660,349,+12,47922,+1314,23276,165,13994,68,284244,55595
31,Belarus,66521,+173,513,+6,59061,+469,6947,89,7040,54,1209400,127991
32,Belgium,64258,+164,9805,N/A,17330,+9,37123,35,5543,846,1484430,128050
33,Bolivia,62357,+1366,2273,+55,19290,+415,40794,71,5338,195,135760,11622
34,Kuwait,61185,+751,417,+5,51520,+601,9248,127,14316,98,471000,110204
35,Ukraine,60995,+829,1534,+16,33172,+973,26289,84,1395,35,907360,20755
36,UAE,57734,+236,342,+1,50354,+390,7038,1,5834,35,4576202,462389
37,Dominican Republic,56043,+1246,1005,+6,26466,+490,28572,246,5163,93,222586,20507
38,Israel,55695,+1653,430,+5,23205,+462,32060,273,6055,47,1503999,163521
39,Panama,55153,N/A,1159,,30075,N/A,23919,164,12772,268,192085,44482
40,Netherlands,52242,+169,6139,+3,N/A,N/A,N/A,16,3048,358,851885,49710
41,Portugal,49150,+252,1702,+5,33999,+230,13449,59,4821,167,1480458,145216
42,Singapore,48744,+310,27,N/A,44795,+211,3922,N/A,8328,5,1170049,199908
43,Poland,41162,+380,1642,+6,31139,+368,8381,73,1088,43,2017513,53311
44,Guatemala,40229,N/A,1531,N/A,26685,N/A,12013,5,2243,85,125082,6975
45,Romania,40163,+1030,2101,+27,24663,+209,13399,293,2089,109,1009273,52485
46,Nigeria,37801,N/A,805,N/A,15677,N/A,21319,7,183,4,218223,1057
47,Bahrain,37316,N/A,130,+1,33455,N/A,3731,47,21898,76,744694,437010
48,Afghanistan,35727,+112,1190,+4,23924,+183,10613,31,917,31,84579,2170
49,Armenia,35693,+439,678,+16,24766,+560,10249,10,12044,229,149898,50580
50,Honduras,35345,+734,988,+53,4144,+239,30213,51,3566,100,78825,7952
