#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3454906,+40911,138030,+248,1536509,+19425,1780367,15813,10436,417,42817058,129331
2,Brazil,1867841,+1665,72234,+83,1213512,N/A,582095,8318,8785,340,4572796,21508
3,India,906617,+27151,23727,+540,571578,+17149,311312,8944,657,17,11806256,8553
4,Russia,733699,+6537,11439,+104,504021,+2960,218239,2300,5028,78,23200000,158973
5,Peru,326326,N/A,11870,N/A,217111,N/A,97345,1316,9893,360,1925231,58367
6,Chile,317657,+2616,7024,+45,286556,+2654,24077,1995,16613,367,1310265,68524
7,Spain,303033,+681,28406,+1,N/A,N/A,N/A,617,6481,608,6026446,128893
9,UK,290133,+530,44830,+11,N/A,N/A,N/A,185,4273,660,12128749,178633
10,South Africa,276242,N/A,4079,N/A,134874,N/A,137289,539,4656,69,2154391,36312
11,Iran,259652,+2349,13032,+203,222539,+2546,24081,3375,3090,155,1997967,23778
12,Pakistan,251625,+2753,5266,+69,161917,+5217,84442,1837,1139,24,1585170,7173
13,Italy,243230,+169,34967,+13,195106,+178,13157,65,4023,578,5962744,98625
14,Saudi Arabia,235111,+2852,2243,+20,169842,+2704,63026,2235,6750,64,2336874,67096
15,Turkey,214001,+1008,5382,+19,195671,+1156,12948,1223,2537,64,4021947,47672
16,Germany,200378,+428,9137,+3,185100,+500,6141,278,2391,109,6376054,76093
17,Bangladesh,186894,+3099,2391,+39,98317,+4703,86186,1,1134,15,955947,5803
18,France,172377,+288,30029,+18,78388,N/A,63960,492,2641,460,2489269,38133
19,Colombia,150445,N/A,5307,N/A,63451,N/A,81687,875,2956,104,1031230,20260
20,Canada,107807,+217,8787,+4,71645,+178,27375,2158,2856,233,3212879,85104
21,Qatar,104016,+418,149,+2,100627,+884,3240,139,37045,53,416327,148275
22,Argentina,100166,N/A,1859,+14,44173,+1479,54134,735,2216,41,474422,10494
23,Egypt,82070,N/A,3858,N/A,24419,N/A,53793,41,802,38,135000,1319
24,Iraq,79735,+2229,3250,+100,46998,+2274,29487,412,1981,81,698012,17344
25,Indonesia,76981,+1282,3656,+50,36689,+1051,36636,N/A,281,13,1074467,3927
26,Sweden,75826,+31,5536,+11,N/A,N/A,N/A,86,7507,548,600019,59400
27,Ecuador,67870,N/A,5047,N/A,30283,N/A,32540,308,3845,286,182523,10341
28,Belarus,65114,+182,468,+4,55492,+112,9154,89,6891,50,1141580,120812
29,Belgium,62707,+101,9782,N/A,17196,N/A,35729,32,5410,844,1361830,117487
30,Kazakhstan,59899,+1646,375,N/A,34190,+376,25334,221,3189,20,1707337,90896
31,Oman,58179,+2164,259,+2,37257,+1159,20663,146,11386,51,244787,47908
32,Philippines,57006,+747,1599,+65,20371,+4325,35036,333,520,15,998920,9112
33,Kuwait,55508,+614,393,+3,45356,+746,9759,148,12992,92,437422,102385
34,UAE,55198,+344,334,+1,45513,+373,9351,1,5579,34,4000000,404289
35,Ukraine,54133,+612,1398,+15,26503,+385,26232,81,1238,32,803657,18380
36,Netherlands,51093,+71,6137,N/A,N/A,N/A,N/A,20,2982,358,681931,39795
37,Bolivia,48187,+987,1807,+53,14843,+510,31537,71,4126,155,107190,9179
38,Portugal,46818,+306,1662,+2,31065,+158,14091,63,4592,163,1316425,129117
39,Singapore,46283,+322,26,N/A,42285,,3972,1,7909,4,866414,148060
40,Panama,45633,N/A,909,N/A,23039,N/A,21685,160,10571,211,164927,38207
41,Dominican Republic,45506,+974,903,+6,22441,+982,22162,226,4194,83,189391,17453
42,Israel,40248,+1578,365,+3,19323,+315,20560,183,4376,40,1266385,137687
43,Poland,38190,+299,1576,+5,27515,+367,9099,69,1009,42,1813365,47915
44,Afghanistan,34455,+4,1012,+2,21254,+38,12189,31,885,26,79804,2049
45,Romania,32948,+413,1901,+17,21692,+147,9355,235,1713,99,854241,44416
46,Switzerland,32946,+63,1968,N/A,29600,N/A,1378,18,3806,227,686349,79286
47,Bahrain,32941,N/A,109,+1,28425,N/A,4407,47,19347,64,666248,391311
48,Nigeria,32558,N/A,740,N/A,13447,N/A,18371,7,158,4,181248,879
49,Armenia,32151,+182,573,+8,19865,+232,11713,10,10849,193,135687,45787
50,Guatemala,29355,N/A,1219,N/A,4214,N/A,23922,5,1638,68,64590,3604
51,Honduras,28090,+507,774,+3,2957,+56,24359,58,2835,78,49308,4976
52,Ireland,25638,+10,1746,N/A,23364,N/A,528,9,5190,353,516958,104659
53,Azerbaijan,24570,+529,313,+7,15640,+547,8617,66,2423,31,576249,56818
54,Ghana,24518,N/A,139,N/A,20187,N/A,4192,8,789,4,328383,10563
55,Japan,21502,N/A,982,N/A,18003,N/A,2517,32,170,8,558622,4417
56,Algeria,19689,+494,1018,+7,14019,+276,4652,61,449,23,N/A,N/A
57,Moldova,19439,+57,649,+7,12793,+126,5997,373,4819,161,101180,25084
58,Austria,18948,+51,708,N/A,17000,+48,1240,8,2103,79,700616,77776
59,Serbia,18639,+279,405,+12,13940,+64,4294,154,2134,46,498343,57044
60,Nepal,16945,+144,38,N/A,10294,+1705,6613,N/A,581,1,601773,20644
61,Morocco,15936,+191,255,+5,12934,+651,2747,31,432,7,896638,24284
62,Cameroon,15173,N/A,359,N/A,11928,N/A,2886,52,571,14,120837,4549
63,S. Korea,13479,+62,289,N/A,12204,+26,986,15,263,6,1408312,27468
64,Uzbekistan,13360,+363,64,+4,7852,N/A,5444,43,399,2,1377915,41153
65,Czechia,13204,+30,353,+1,8353,+106,4498,15,1233,33,598642,55897
66,Denmark,13037,+91,610,+1,12130,+53,297,3,2251,105,1244789,214882
67,Ivory Coast,12766,N/A,84,N/A,6654,N/A,6028,N/A,484,3,76250,2889
68,Kyrgyzstan,11117,+488,147,+15,3460,+73,7510,24,1703,23,255242,39105
69,Sudan,10316,+66,657,+7,5403,+62,4256,N/A,235,15,401,9
70,Kenya,10294,+189,197,+12,2946,+65,7151,44,191,4,216242,4019
71,Australia,9980,+184,108,N/A,7768,+41,2104,18,391,4,3111390,121974
72,El Salvador,9978,+304,267,+7,5732,+98,3979,334,1538,41,194655,30006
73,Venezuela,9465,N/A,89,N/A,2671,N/A,6705,25,333,3,1386563,48766
74,Norway,8981,N/A,253,+1,8138,N/A,590,2,1656,47,372389,68674
75,Malaysia,8725,+7,122,N/A,8520,+1,83,4,269,4,850423,26265
76,Senegal,8198,+63,150,+2,5514,+68,2534,34,489,9,91337,5452
77,North Macedonia,8197,+86,385,+3,4326,+123,3486,55,3934,185,78133,37503
78,DRC,8075,+42,190,+1,3620,+5,4265,N/A,90,2,N/A,N/A
79,Ethiopia,7766,+206,128,+1,2430,N/A,5208,35,68,1,250604,2179
80,Costa Rica,7596,N/A,30,N/A,2239,N/A,5327,27,1491,6,57745,11332
81,Finland,7295,+1,329,N/A,6800,N/A,166,1,1317,59,278800,50316
82,Bulgaria,7252,N/A,268,N/A,3319,N/A,3665,33,1044,39,176334,25385
83,Bosnia and Herzegovina,6981,+104,226,+5,3179,+64,3576,4,2128,69,111536,34005
84,Haiti,6727,+37,139,N/A,2924,+334,3664,N/A,590,12,14544,1275
85,Tajikistan,6596,+44,55,N/A,5278,+50,1263,N/A,691,6,N/A,N/A
86,Palestine,6566,+336,38,+2,1084,+142,5444,N/A,1286,7,122555,24011
87,French Guiana,6170,+221,29,+3,3210,+229,2931,30,20646,97,9895,33110
88,Guinea,6141,N/A,37,N/A,4862,N/A,1242,24,467,3,14407,1096
89,Gabon,5942,N/A,46,N/A,3004,N/A,2892,11,2668,21,46725,20981
90,Mauritania,5355,N/A,147,N/A,2363,N/A,2845,6,1151,32,13842,2975
91,Madagascar,5080,+213,37,+2,2494,+116,2549,59,183,1,29539,1066
92,Djibouti,4977,+5,56,N/A,4729,+17,192,N/A,5035,57,51543,52148
93,Luxembourg,4956,+31,111,N/A,4183,+97,662,3,7914,177,281431,449387
94,CAR,4288,N/A,53,N/A,1145,N/A,3090,2,887,11,26949,5577
95,Hungary,4247,+13,595,N/A,3073,+37,579,5,440,62,295561,30598
96,Greece,3826,+23,193,N/A,1374,N/A,2259,12,367,19,382452,36700
97,Croatia,3775,+53,119,N/A,2514,+28,1142,4,920,29,94175,22945
98,Albania,3571,+117,95,+2,2014,+68,1462,10,1241,33,28883,10037
99,Thailand,3220,+3,58,N/A,3090,+2,72,1,46,0.8,603657,8648
100,Equatorial Guinea,3071,N/A,51,N/A,842,N/A,2178,N/A,2188,36,16000,11397
101,Somalia,3059,N/A,93,N/A,1264,N/A,1702,2,192,6,N/A,N/A
102,Paraguay,2948,N/A,22,N/A,1275,N/A,1651,11,413,3,91281,12793
103,Nicaragua,2846,N/A,91,N/A,1993,N/A,762,N/A,429,14,N/A,N/A
104,Maldives,2762,+31,13,N/A,2290,+6,459,12,5107,24,62767,116064
105,Mayotte,2711,N/A,37,N/A,2480,N/A,194,3,9932,136,8800,32238
106,Sri Lanka,2646,+29,11,N/A,1981,N/A,654,1,124,0.5,122071,5700
107,Cuba,2428,+2,87,N/A,2268,+10,73,2,214,8,202014,17836
108,Lebanon,2419,+85,36,N/A,1423,+3,960,9,354,5,178945,26222
109,Mali,2412,+1,121,N/A,1730,+36,561,N/A,119,6,16317,805
110,Malawi,2364,N/A,38,N/A,557,N/A,1769,4,124,2,18814,983
111,South Sudan,2148,+127,41,+3,333,N/A,1774,N/A,192,4,10824,967
112,Congo,2028,N/A,47,N/A,589,N/A,1392,N/A,367,9,N/A,N/A
113,Estonia,2014,N/A,69,N/A,1895,N/A,50,1,1518,52,112174,84560
114,Slovakia,1902,+1,28,N/A,1493,N/A,381,3,348,5,230068,42139
115,Iceland,1900,+4,10,N/A,1871,+6,19,N/A,5567,29,94731,277548
116,Zambia,1895,N/A,42,N/A,1412,N/A,441,1,103,2,56825,3089
117,Lithuania,1874,+5,79,N/A,1571,N/A,224,15,689,29,461666,169687
118,Slovenia,1849,+8,111,N/A,1473,+4,265,1,889,53,116023,55809
119,Guinea-Bissau,1842,N/A,26,N/A,773,N/A,1043,5,935,13,1500,762
120,Cabo Verde,1698,+75,19,N/A,748,N/A,931,N/A,3053,34,40120,72136
