#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
121,Sierra Leone,1642,+7,63,N/A,1175,+21,404,N/A,206,8,N/A,N/A
122,New Zealand,1544,N/A,22,N/A,1497,N/A,25,N/A,309,4,429643,85893
123,Hong Kong,1522,+52,8,+1,1217,+3,297,5,203,1,376645,50227
124,Libya,1512,+79,40,+1,367,+26,1105,N/A,220,6,35695,5193
125,Yemen,1498,+33,424,+7,675,+16,399,N/A,50,14,120,4
126,Eswatini,1389,+38,20,N/A,688,+20,681,5,1197,17,17559,15130
127,Benin,1378,N/A,26,N/A,557,N/A,795,1,114,2,67622,5575
128,Rwanda,1337,N/A,4,N/A,684,N/A,649,N/A,103,0.3,183341,14147
129,Tunisia,1302,+39,50,N/A,1082,+6,170,N/A,110,4,79144,6694
130,Montenegro,1221,N/A,23,N/A,325,N/A,873,N/A,1944,37,16183,25766
131,Mozambique,1219,+62,9,N/A,369,+5,841,N/A,39,0.3,40861,1307
132,Jordan,1183,+4,10,N/A,1008,+11,165,3,116,1.0,471801,46227
133,Latvia,1174,+1,31,+1,1019,N/A,124,1,623,16,169943,90139
134,Niger,1099,N/A,68,N/A,992,N/A,39,N/A,45,3,6658,275
135,Burkina Faso,1036,N/A,53,N/A,869,N/A,114,N/A,50,3,N/A,N/A
136,Uganda,1029,+4,N/A,N/A,977,+5,52,N/A,22,N/A,228105,4984
137,Liberia,1024,+14,51,N/A,439,+16,534,N/A,202,10,N/A,N/A
138,Cyprus,1022,+1,19,N/A,839,N/A,164,N/A,846,16,167394,138613
139,Georgia,995,+9,15,N/A,857,N/A,123,5,249,4,148188,37150
140,Uruguay,987,N/A,31,N/A,896,N/A,60,N/A,284,9,78586,22620
141,Zimbabwe,985,N/A,18,N/A,328,N/A,639,N/A,66,1,88984,5985
142,Chad,880,N/A,75,N/A,792,+2,13,N/A,54,5,N/A,N/A
143,Namibia,861,+76,1,N/A,28,+2,832,1,339,0.4,14698,5782
144,Andorra,855,N/A,52,N/A,803,N/A,0,N/A,11065,673,3750,48532
145,Suriname,762,+21,18,N/A,509,+14,235,6,1299,31,1244,2120
146,Jamaica,758,N/A,10,N/A,620,N/A,128,,256,3,28219,9528
147,Sao Tome and Principe,729,N/A,14,N/A,286,N/A,429,N/A,3325,64,1955,8916
148,Togo,720,N/A,15,N/A,513,N/A,192,2,87,2,35457,4281
150,San Marino,699,N/A,42,N/A,656,N/A,1,N/A,20599,1238,5729,168833
151,Malta,674,N/A,9,N/A,660,N/A,5,N/A,1526,20,107622,243719
152,Réunion,596,+3,3,N/A,472,N/A,121,3,666,3,35419,39551
153,Channel Islands,577,N/A,47,N/A,512,N/A,18,N/A,3318,270,21388,122982
154,Tanzania,509,N/A,21,N/A,183,N/A,305,7,9,0.4,N/A,N/A
155,Angola,506,+23,26,+1,118,N/A,362,6,15,0.8,10000,304
156,Taiwan,451,N/A,7,N/A,440,+2,4,N/A,19,0.3,78747,3306
157,Syria,417,+23,19,+3,136,+10,262,N/A,24,1,N/A,N/A
158,Botswana,399,N/A,1,N/A,38,N/A,360,1,170,0.4,51379,21837
159,Vietnam,372,N/A,N/A,N/A,350,N/A,22,1,4,N/A,275000,2824
160,Mauritius,342,N/A,10,N/A,330,N/A,2,N/A,269,8,193561,152190
161,Isle of Man,336,N/A,24,N/A,312,N/A,0,N/A,3951,282,7031,82671
162,Myanmar,336,+5,6,N/A,261,N/A,69,N/A,6,0.1,94168,1730
163,Comoros,317,N/A,7,N/A,296,N/A,14,N/A,364,8,N/A,N/A
164,Guyana,297,N/A,17,N/A,154,N/A,126,5,378,22,3252,4134
165,Burundi,269,+78,1,N/A,207,+89,61,N/A,23,0.08,6697,563
166,Martinique,255,N/A,15,N/A,98,N/A,142,5,680,40,N/A,N/A
167,Lesotho,245,+12,3,+1,33,+1,209,N/A,114,1,5849,2730
168,Eritrea,232,N/A,N/A,N/A,107,N/A,125,N/A,65,N/A,N/A,N/A
169,Mongolia,230,N/A,N/A,N/A,203,+1,27,3,70,N/A,27737,8457
170,Cayman Islands,201,N/A,1,N/A,197,N/A,3,N/A,3057,15,26177,398160
171,Guadeloupe,190,N/A,14,N/A,157,N/A,19,4,475,35,11538,28836
172,Faeroe Islands,188,N/A,,N/A,188,N/A,0,N/A,3847,N/A,24704,24704
173,Gibraltar,180,N/A,N/A,N/A,176,N/A,4,N/A,5343,N/A,16239,481998
174,Cambodia,156,N/A,N/A,N/A,133,N/A,23,1,9,N/A,46168,2760
175,Bermuda,150,N/A,9,N/A,137,N/A,4,1,2409,145,13710,220174
176,Brunei,141,N/A,3,N/A,138,N/A,0,N/A,322,7,29841,68191
177,Trinidad and Tobago,133,N/A,8,N/A,120,N/A,5,N/A,95,6,5804,4147
178,Bahamas,111,N/A,11,N/A,89,N/A,11,1,282,28,2526,6422
179,Monaco,109,N/A,4,N/A,97,N/A,8,N/A,2777,102,16200,412728
180,Aruba,105,N/A,3,N/A,99,N/A,3,N/A,983,28,3107,29097
181,Barbados,103,N/A,7,N/A,90,N/A,6,N/A,358,24,8834,30739
182,Seychelles,100,N/A,N/A,N/A,11,N/A,89,N/A,1017,N/A,N/A,N/A
183,Liechtenstein,84,N/A,1,N/A,81,N/A,2,N/A,2203,26,900,23602
184,Bhutan,84,+2,N/A,N/A,76,N/A,8,N/A,109,N/A,36717,47569
185,Sint Maarten,78,N/A,15,N/A,63,N/A,0,N/A,1819,350,523,12194
186,Antigua and Barbuda,74,N/A,3,N/A,57,N/A,14,1,755,31,860,8780
187,Turks and Caicos,72,+1,2,N/A,11,N/A,59,4,1859,52,946,24424
188,Gambia,64,N/A,3,N/A,34,N/A,27,N/A,26,1,3573,1478
189,French Polynesia,62,N/A,N/A,N/A,60,N/A,2,N/A,221,N/A,4649,16547
190,Macao,46,N/A,,45,N/A,1,N/A,71,N/A,4071,6267,6267
191,Saint Martin,43,N/A,3,N/A,37,N/A,3,1,1112,78,851,21999
192,Belize,37,N/A,2,,20,N/A,15,N/A,93,5,2577,6478
193,St. Vincent Grenadines,35,N/A,N/A,N/A,29,N/A,6,N/A,315,N/A,1199,10806
194,Fiji,26,N/A,N/A,N/A,18,N/A,8,N/A,29,N/A,4000,4461
195,Curaçao,25,N/A,1,N/A,24,N/A,0,N/A,152,6,1080,6581
196,Timor-Leste,24,N/A,N/A,N/A,24,N/A,0,N/A,18,N/A,1568,1189
197,Grenada,23,N/A,N/A,N/A,23,N/A,0,N/A,204,N/A,5465,48561
198,Saint Lucia,22,N/A,N/A,N/A,19,N/A,3,N/A,120,N/A,2002,10901
199,New Caledonia,21,N/A,N/A,N/A,21,N/A,0,N/A,74,N/A,9124,31949
200,Laos,19,N/A,N/A,N/A,19,N/A,0,N/A,3,N/A,20454,2810
201,Dominica,18,N/A,N/A,N/A,18,N/A,0,N/A,250,N/A,623,8654
202,Saint Kitts and Nevis,17,N/A,N/A,N/A,15,N/A,2,N/A,319,N/A,651,12234
203,Falkland Islands,13,N/A,N/A,N/A,13,N/A,0,N/A,3733,N/A,1393,400057
204,Greenland,13,N/A,,13,N/A,0,N/A,229,N/A,4789,84353,84353
205,Montserrat,12,N/A,1,N/A,10,N/A,1,N/A,2404,200,61,12220
207,Papua New Guinea,11,N/A,N/A,N/A,8,N/A,3,N/A,1,N/A,7147,798
208,Western Sahara,10,N/A,1,N/A,8,N/A,1,N/A,17,2,N/A,N/A
210,British Virgin Islands,8,N/A,1,N/A,7,N/A,0,N/A,265,33,439,14519
211,Caribbean Netherlands,7,N/A,N/A,N/A,7,N/A,0,N/A,267,N/A,424,16164
212,St. Barth,6,,N/A,6,N/A,0,N/A,607,N/A,507,51326,51326
213,Anguilla,3,N/A,N/A,N/A,3,N/A,0,N/A,200,N/A,380,25322
214,Saint Pierre Miquelon,2,N/A,N/A,N/A,1,N/A,1,N/A,345,N/A,N/A,N/A
