#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3097084,N/A,133972,N/A,1354863,N/A,1608249,15371,9356,405,38801591,117211
2,Brazil,1674655,N/A,66868,N/A,1117922,+45693,489865,8318,7878,315,4359978,20509
3,India,743481,,20653,N/A,457058,N/A,265770,8944,539,15,10473771,7588
4,Russia,694230,N/A,10494,N/A,463880,N/A,219856,2300,4757,72,21537771,147584
5,Peru,309278,N/A,10952,N/A,200938,N/A,97388,1265,9378,332,1821328,55227
6,Chile,301019,N/A,6434,N/A,268245,N/A,26340,2060,15744,337,1210326,63305
7,Spain,299210,N/A,28392,N/A,N/A,N/A,N/A,617,6400,607,5734599,122652
8,UK,286349,N/A,44391,N/A,N/A,N/A,N/A,209,4218,654,10777399,158741
9,Mexico,268008,+6258,32014,+895,163646,+3989,72348,378,2078,248,641142,4972
10,Iran,245688,N/A,11931,N/A,207000,N/A,26757,3270,2925,142,1846793,21983
11,Italy,241956,N/A,34899,N/A,192815,N/A,14242,70,4002,577,5703673,94338
12,Pakistan,234509,N/A,4839,N/A,134957,N/A,94713,2306,1061,22,1445153,6541
13,Saudi Arabia,217108,N/A,2017,N/A,154839,N/A,60252,2268,6235,58,2018657,57972
14,South Africa,215855,N/A,3502,N/A,102299,N/A,110054,539,3639,59,1907532,32156
15,Turkey,207897,N/A,5260,N/A,185292,N/A,17345,1152,2465,62,3733218,44257
16,Germany,198355,N/A,9103,N/A,182700,N/A,6552,298,2367,109,5873563,70099
17,France,168810,N/A,29933,N/A,77655,N/A,61222,538,2586,459,1384633,21212
18,Bangladesh,168645,N/A,2151,N/A,78102,N/A,88392,1,1024,13,876480,5321
19,Colombia,124494,N/A,4359,N/A,51861,N/A,68274,875,2446,86,902305,17730
20,Canada,106167,N/A,8711,N/A,69883,N/A,27573,2150,2813,231,3020172,80009
21,Qatar,100945,N/A,134,N/A,94903,N/A,5908,154,35952,48,390997,139254
22,Argentina,83426,N/A,1644,N/A,30095,N/A,51687,688,1846,36,414697,9174
23,Egypt,77279,N/A,3489,N/A,21718,N/A,52072,41,755,34,135000,1319
24,Sweden,73344,N/A,5447,N/A,N/A,N/A,N/A,103,7261,539,520208,51503
25,Indonesia,66226,N/A,3309,N/A,30785,N/A,32132,N/A,242,12,946054,3458
26,Iraq,64701,N/A,2685,N/A,36252,N/A,25764,396,1608,67,624420,15521
27,Belarus,64003,N/A,436,N/A,51902,N/A,11665,89,6773,46,1074240,113685
28,Ecuador,63245,N/A,4873,N/A,29071,N/A,29301,288,3584,276,168272,9536
29,Belgium,62058,N/A,9774,N/A,17122,N/A,35162,27,5354,843,1313064,113287
30,UAE,52600,N/A,326,N/A,41714,N/A,10560,1,5317,33,3544000,358259
31,Kuwait,51245,N/A,377,N/A,41515,N/A,9353,159,11997,88,413530,96812
32,Kazakhstan,51059,+1376,264,N/A,28402,+745,22393,221,2719,14,1630669,86829
33,Netherlands,50694,N/A,6132,N/A,N/A,N/A,N/A,18,2958,358,616376,35970
34,Ukraine,49607,N/A,1283,N/A,22193,N/A,26131,106,1134,29,731858,16737
35,Oman,48997,N/A,224,N/A,31000,N/A,17773,127,9593,44,217194,42522
36,Philippines,47873,N/A,1309,N/A,12386,N/A,34178,166,437,12,845218,7712
37,Singapore,45140,N/A,26,N/A,41002,N/A,4112,1,7715,4,757746,129503
38,Portugal,44416,N/A,1629,N/A,29445,N/A,13342,76,4356,160,1271425,124698
39,Bolivia,41545,+1036,1530,+54,12398,+469,27617,71,3558,131,90651,7764
40,Panama,40291,N/A,799,N/A,18726,N/A,20766,160,9336,185,150542,34882
41,Dominican Republic,38430,N/A,821,N/A,19564,N/A,18045,208,3542,76,169999,15668
42,Poland,36412,N/A,1528,N/A,24238,N/A,10646,73,962,40,1676364,44295
43,Afghanistan,33384,N/A,920,N/A,20179,N/A,12285,31,857,24,76910,1975
44,Switzerland,32369,N/A,1966,N/A,29300,N/A,1103,17,3740,227,641982,74168
45,Israel,32222,N/A,342,N/A,18227,N/A,13653,86,3503,37,1130991,122966
46,Bahrain,30321,N/A,98,N/A,25570,N/A,4653,60,17817,58,621362,365122
47,Nigeria,29789,N/A,669,N/A,12108,N/A,17012,7,144,3,152952,742
48,Romania,29620,N/A,1799,N/A,20534,N/A,7287,231,1540,94,783337,40726
49,Armenia,29285,N/A,503,N/A,16907,N/A,11875,10,9882,170,125088,42212
50,Ireland,25538,N/A,1742,N/A,23364,N/A,432,12,5171,353,473974,95972
51,Honduras,25428,+763,677,+21,2637,+52,22114,58,2567,68,49308,4977
52,Guatemala,24787,N/A,1004,N/A,3575,N/A,20208,5,1383,56,64590,3604
53,Ghana,21968,N/A,129,N/A,17156,N/A,4683,6,707,4,316798,10193
54,Azerbaijan,21374,N/A,265,N/A,12635,N/A,8474,66,2108,26,529875,52252
55,Japan,19981,N/A,978,N/A,17197,N/A,1806,36,158,8,509993,4033
56,Austria,18421,N/A,706,N/A,16686,N/A,1029,10,2045,78,660149,73290
57,Moldova,18141,N/A,603,N/A,11241,N/A,6297,391,4497,149,101180,25083
58,Algeria,16879,N/A,968,N/A,12094,N/A,3817,55,385,22,N/A,N/A
59,Serbia,16719,N/A,330,N/A,13366,N/A,3023,110,1914,38,455604,52149
60,Nepal,16168,N/A,35,N/A,7499,N/A,8634,N/A,555,1,574263,19705
61,Cameroon,14916,N/A,359,N/A,11525,N/A,3032,52,562,14,N/A,N/A
62,Morocco,14607,N/A,240,N/A,10639,N/A,3728,19,396,7,801287,21705
63,S. Korea,13244,+63,285,N/A,11970,+56,989,15,258,6,1359735,26521
64,Denmark,12888,N/A,609,N/A,11983,N/A,296,5,2225,105,1157601,199841
65,Czechia,12685,N/A,351,N/A,7910,N/A,4424,13,1184,33,574769,53670
66,Ivory Coast,11194,N/A,76,N/A,5487,N/A,5631,N/A,424,3,67168,2546
67,Uzbekistan,10670,N/A,40,N/A,6811,N/A,3819,36,319,1,1121236,33493
68,Sudan,9997,N/A,622,N/A,5034,N/A,4341,N/A,228,14,401,9
69,Norway,8947,N/A,251,N/A,8138,N/A,558,3,1650,46,358175,66060
70,Australia,8886,+131,106,N/A,7487,+32,1293,8,348,4,2853342,111875
71,Malaysia,8674,N/A,121,N/A,8481,N/A,72,2,268,4,816118,25210
72,El Salvador,8307,N/A,229,N/A,4929,N/A,3149,234,1281,35,179862,27727
73,Kyrgyzstan,8279,+138,107,+8,2967,+51,5205,24,1269,16,236893,36302
74,Kenya,8250,N/A,167,N/A,2504,N/A,5579,29,153,3,193455,3597
75,Venezuela,7693,N/A,71,N/A,2100,N/A,5522,18,271,2,1336021,46987
76,Senegal,7547,N/A,137,N/A,5023,N/A,2387,34,451,8,86103,5141
77,DRC,7432,N/A,182,N/A,3226,N/A,4024,N/A,83,2,N/A,N/A
78,Finland,7262,N/A,329,N/A,6700,,233,1,1311,59,255500,46112
79,North Macedonia,7244,N/A,351,N/A,3324,N/A,3569,55,3477,168,69426,33324
80,Haiti,6432,+61,117,+4,2080,+256,4235,N/A,564,10,13490,1183
81,Tajikistan,6315,N/A,53,N/A,4965,N/A,1297,N/A,662,6,N/A,N/A
82,Bulgaria,6102,N/A,254,N/A,3037,N/A,2811,32,878,37,159818,23005
83,Ethiopia,5846,N/A,103,N/A,2430,N/A,3313,35,51,0.9,250604,2179
