#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
162,Cayman Islands,195,N/A,1,N/A,143,N/A,51,N/A,2968,15,20370,310065
163,Syria,187,N/A,7,N/A,78,N/A,102,N/A,11,0.4,N/A,N/A
164,Faeroe Islands,187,N/A,N/A,N/A,187,N/A,0,N/A,3827,N/A,11816,241844
165,Guyana,183,N/A,12,N/A,102,N/A,69,1,233,15,2048,2604
166,Gibraltar,176,N/A,N/A,N/A,176,N/A,0,N/A,5224,N/A,10734,318601
167,Guadeloupe,174,N/A,14,N/A,157,N/A,3,N/A,435,35,6900,17245
168,Angola,172,N/A,8,N/A,66,N/A,98,1,5,0.2,10000,305
169,Bermuda,146,+2,9,N/A,132,+4,5,2,2344,144,9747,156493
170,Eritrea,142,N/A,N/A,N/A,39,N/A,103,N/A,40,N/A,N/A,N/A
171,Brunei,141,N/A,3,N/A,138,N/A,0,1,322,7,26195,59896
172,Cambodia,129,N/A,N/A,N/A,126,N/A,3,1,8,N/A,29915,1790
173,Trinidad and Tobago,123,N/A,8,N/A,109,N/A,6,N/A,88,6,4274,3054
174,Bahamas,104,N/A,11,N/A,74,N/A,19,1,265,28,2326,5917
175,Burundi,104,N/A,1,N/A,75,N/A,28,N/A,9,0.08,382,32
176,Aruba,101,N/A,3,N/A,98,,0,N/A,946,28,2249,21067
177,Monaco,99,N/A,4,N/A,94,N/A,1,N/A,2523,102,16200,412918
178,Barbados,97,N/A,7,N/A,85,N/A,5,1,338,24,7345,25560
179,Botswana,89,N/A,1,N/A,25,N/A,63,1,38,0.4,33176,14118
180,Liechtenstein,82,N/A,1,N/A,55,N/A,26,N/A,2151,26,900,23607
181,Sint Maarten,77,N/A,15,N/A,62,N/A,0,N/A,1797,350,477,11129
182,Bhutan,67,N/A,N/A,N/A,25,N/A,42,N/A,87,N/A,22522,29199
183,French Polynesia,60,N/A,N/A,N/A,60,N/A,0,N/A,214,N/A,4578,16300
184,Macao,45,N/A,N/A,N/A,45,N/A,0,,69,N/A,N/A,N/A
185,Namibia,45,N/A,N/A,N/A,19,N/A,26,1,18,N/A,6514,2565
186,Saint Martin,42,N/A,3,N/A,36,N/A,3,1,1087,78,685,17727
187,Gambia,36,N/A,1,N/A,24,N/A,11,N/A,15,0.4,1970,816
188,St. Vincent Grenadines,29,N/A,N/A,N/A,26,N/A,3,N/A,261,N/A,741,6680
189,Antigua and Barbuda,26,N/A,3,N/A,22,N/A,1,1,266,31,489,4995
190,Timor-Leste,24,N/A,N/A,N/A,24,N/A,0,N/A,18,N/A,1568,1190
191,Curaçao,23,N/A,1,N/A,19,N/A,3,N/A,140,6,1080,6582
192,Grenada,23,N/A,N/A,N/A,23,,0,N/A,204,N/A,4130,36709
193,Belize,22,N/A,2,N/A,17,N/A,3,N/A,55,5,1957,4925
194,New Caledonia,21,N/A,N/A,N/A,21,N/A,0,N/A,74,N/A,7788,27287
195,Laos,19,N/A,N/A,N/A,19,N/A,0,N/A,3,N/A,11996,1650
196,Saint Lucia,19,N/A,N/A,N/A,18,N/A,1,N/A,103,N/A,1356,7386
197,Dominica,18,N/A,N/A,N/A,18,N/A,0,N/A,250,N/A,623,8655
198,Fiji,18,N/A,N/A,N/A,18,N/A,0,N/A,20,N/A,2431,2712
199,Saint Kitts and Nevis,15,N/A,N/A,N/A,15,N/A,0,N/A,282,N/A,417,7840
200,Falkland Islands,13,N/A,N/A,,13,N/A,0,N/A,3740,N/A,671,193038
201,Greenland,13,N/A,N/A,N/A,13,N/A,0,N/A,229,N/A,2807,49448
202,Turks and Caicos,12,N/A,1,N/A,11,N/A,0,N/A,310,26,366,9458
203,Vatican City,12,N/A,N/A,N/A,12,N/A,0,N/A,14981,N/A,N/A,N/A
204,Montserrat,11,N/A,1,N/A,10,N/A,0,N/A,2204,200,61,12220
205,Seychelles,11,N/A,N/A,N/A,11,N/A,0,N/A,112,N/A,N/A,N/A
207,Western Sahara,9,N/A,1,N/A,8,N/A,0,N/A,15,2,N/A,N/A
208,British Virgin Islands,8,N/A,1,N/A,7,N/A,0,N/A,265,33,212,7014
209,Papua New Guinea,8,N/A,N/A,N/A,8,N/A,0,N/A,0.9,N/A,5281,591
210,Caribbean Netherlands,7,N/A,N/A,N/A,7,N/A,0,N/A,267,N/A,424,16174
211,St. Barth,6,N/A,N/A,N/A,6,N/A,0,N/A,608,N/A,152,15391
212,Lesotho,4,N/A,N/A,N/A,2,N/A,2,N/A,2,N/A,1515,707
213,Anguilla,3,N/A,N/A,N/A,3,N/A,0,N/A,200,N/A,93,6200
