#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,2837189,N/A,131485,N/A,1191091,N/A,1514613,15907,8571,397,35538123,107362
2,Brazil,1501353,N/A,61990,N/A,916147,N/A,523216,8318,7063,292,3227591,15184
3,Russia,661165,N/A,9683,N/A,428978,N/A,222504,2300,4531,66,20168904,138205
4,India,627168,N/A,18225,N/A,379902,N/A,229041,8944,454,13,9056173,6562
5,Spain,297183,N/A,28368,N/A,N/A,N/A,N/A,617,6356,607,5448984,116544
6,Peru,292004,N/A,10045,N/A,182097,N/A,99862,1220,8856,305,1720261,52173
7,Chile,284541,N/A,5920,N/A,249247,N/A,29374,2099,14884,310,1131008,59163
8,UK,283757,N/A,43995,N/A,N/A,N/A,N/A,279,4180,648,9914663,146044
9,Italy,240961,N/A,34818,N/A,191083,N/A,15060,82,3985,576,5498719,90946
10,Mexico,238511,+6741,29189,+679,142593,+4274,66729,378,1850,226,610495,4735
11,Iran,232863,N/A,11106,N/A,194098,N/A,27659,3097,2772,132,1719451,20471
12,Pakistan,217809,N/A,4473,N/A,104694,N/A,108642,2723,986,20,1327638,6011
13,Turkey,202284,N/A,5167,N/A,176965,N/A,20152,1067,2398,61,3483677,41304
14,Saudi Arabia,197608,N/A,1752,N/A,137669,N/A,58187,2287,5676,50,1727701,49627
15,Germany,196717,N/A,9064,N/A,180300,N/A,7353,327,2348,108,5873563,70102
16,South Africa,168061,N/A,2844,N/A,81999,N/A,83218,539,2834,48,1706127,28766
17,France,166378,N/A,29875,N/A,76802,N/A,59701,573,2549,458,1384633,21212
18,Bangladesh,153277,N/A,1926,N/A,66442,N/A,84909,1,931,12,805697,4892
19,Colombia,106110,N/A,3641,N/A,44531,N/A,57938,335,2085,72,798108,15685
20,Canada,104772,N/A,8642,N/A,68347,N/A,27783,2110,2776,229,2848244,75463
21,Qatar,97897,N/A,118,N/A,86597,N/A,11182,187,34866,42,366095,130385
22,Egypt,71299,N/A,3120,N/A,19288,N/A,48891,41,697,30,135000,1319
23,Sweden,70639,N/A,5411,N/A,N/A,N/A,N/A,144,6994,536,519113,51399
24,Argentina,69941,N/A,1385,N/A,24186,N/A,44370,594,1547,31,372108,8233
25,Belarus,62698,N/A,405,N/A,48738,N/A,13555,89,6635,43,1028349,108828
26,Belgium,61598,N/A,9761,N/A,17044,N/A,34793,37,5315,842,1251345,107968
27,Ecuador,59468,N/A,4639,N/A,28032,N/A,26797,288,3371,263,156185,8852
28,Indonesia,59394,N/A,2987,N/A,26667,N/A,29740,N/A,217,11,849155,3104
29,Iraq,53708,N/A,2160,N/A,27912,N/A,23636,326,1335,54,567685,14115
30,Netherlands,50335,N/A,6113,N/A,N/A,N/A,N/A,28,2938,357,616376,35971
31,UAE,49469,N/A,317,N/A,38664,N/A,10488,1,5002,32,3500000,353869
32,Kuwait,47859,N/A,359,N/A,38390,N/A,9110,142,11207,84,395349,92574
33,Ukraine,45887,N/A,1185,N/A,20053,N/A,24649,98,1049,27,677257,15487
34,Singapore,44310,N/A,26,N/A,39429,N/A,4855,1,7574,4,757746,129517
35,Portugal,42782,N/A,1587,N/A,28097,N/A,13098,77,4196,156,1205593,118237
36,Kazakhstan,42574,N/A,188,N/A,25533,N/A,16853,121,2267,10,1536607,81834
37,Oman,42555,N/A,188,N/A,25318,N/A,17049,114,8334,37,198994,38973
38,Philippines,38805,N/A,1274,N/A,10673,N/A,26858,170,354,12,754775,6888
39,Bolivia,35528,+1301,1271,+70,10358,+594,23899,71,3044,109,79567,6816
41,Poland,35146,N/A,1492,N/A,22209,N/A,11445,73,929,39,1569693,41476
42,Dominican Republic,34197,N/A,765,N/A,18141,N/A,15291,200,3152,71,154129,14208
43,Afghanistan,32022,N/A,807,N/A,16041,N/A,15174,19,823,21,73515,1889
44,Switzerland,31967,N/A,1965,N/A,29200,N/A,802,15,3694,227,599105,69221
45,Bahrain,27837,N/A,94,N/A,22583,N/A,5160,51,16365,55,574105,337514
46,Romania,27746,N/A,1687,N/A,19363,N/A,6696,237,1442,88,735221,38221
47,Nigeria,27110,N/A,616,N/A,10801,N/A,15693,7,132,3,141525,687
48,Israel,27047,N/A,324,N/A,17547,N/A,9176,65,2941,35,1024298,111366
49,Armenia,26658,N/A,459,N/A,15036,N/A,11163,10,8996,155,115765,39066
50,Ireland,25489,N/A,1738,N/A,23364,N/A,387,12,5162,352,438034,88708
51,Honduras,20262,N/A,542,N/A,2123,N/A,17597,58,2046,55,49308,4978
52,Guatemala,20072,+1061,843,+26,3279,+48,15950,5,1120,47,64590,3605
53,Japan,18874,N/A,975,N/A,16772,N/A,1127,37,149,8,475308,3758
54,Azerbaijan,18684,N/A,228,N/A,10425,N/A,8031,66,1843,22,482170,47554
55,Ghana,18134,N/A,117,N/A,13550,N/A,4467,6,584,4,300520,9672
56,Austria,17941,N/A,705,N/A,16514,N/A,722,7,1992,78,628700,69804
57,Moldova,17150,N/A,560,N/A,9846,N/A,6744,438,4251,139,101180,25083
58,Serbia,15195,N/A,287,N/A,12912,N/A,1996,81,1739,33,418879,47943
59,Algeria,14657,N/A,928,N/A,10342,N/A,3387,48,334,21,N/A,N/A
60,Nepal,14519,N/A,31,N/A,5320,N/A,9168,N/A,498,1,534384,18341
61,Morocco,12969,N/A,229,N/A,9090,N/A,3650,7,351,6,715853,19394
62,S. Korea,12967,+63,282,N/A,11759,+75,926,15,253,6,1307761,25508
